time 1	2	3	D-2	D-1	D
0.000000000000000000e+00	-1.199999995440401079e+01	-1.000000004209159243e+01	-1.000000000114020082e+01	1.000000000065869799e+01	1.000000004545897880e+01	1.199999995348494508e+01
5.000000000000000104e-04	-1.142929200653827060e+01	-9.682214061973683172e+00	-9.629578223391744629e+00	9.627571899334226302e+00	9.680453314828815436e+00	1.142612288529435283e+01
1.000000000000000021e-03	-1.093517705651110994e+01	-9.425805265577148262e+00	-9.317196894411567953e+00	9.299475525158291234e+00	9.411872290538953578e+00	1.090581839161685984e+01
1.500000000000000031e-03	-1.056316267954694332e+01	-9.240260453238056115e+00	-9.083941629274329799e+00	9.016285775278662484e+00	9.196929239215842600e+00	1.044475017650521487e+01
2.000000000000000042e-03	-1.039304800247259308e+01	-9.126499198844641114e+00	-8.965721339371569343e+00	8.779489513091096597e+00	9.038570665800218507e+00	1.005644418008365903e+01
2.500000000000000052e-03	-1.050886920066785457e+01	-9.115141273022386414e+00	-9.021027316783255756e+00	8.593588083190331517e+00	8.935278354334707629e+00	9.769415191135886189e+00
3.000000000000000062e-03	-1.091931014486137386e+01	-9.381331643823514810e+00	-9.255187483269988746e+00	8.483477240039551504e+00	8.874173465934575233e+00	9.633812377526229653e+00
3.500000000000000073e-03	-1.156633726435902254e+01	-9.917956467469929649e+00	-9.716224586756998960e+00	8.532395105132314583e+00	8.853794823758567745e+00	9.693923121956656175e+00
4.000000000000000083e-03	-1.238676341664373837e+01	-1.061590358353424079e+01	-1.038119676299593763e+01	8.723090712885010589e+00	8.955966718048568254e+00	9.937928153295185751e+00
4.500000000000000527e-03	-1.333304664368689885e+01	-1.142613523418197730e+01	-1.116559563216965500e+01	9.107242058201993729e+00	9.308237338781140124e+00	1.032412325134156106e+01
5.000000000000000104e-03	-1.437201095759981051e+01	-1.231770037336035450e+01	-1.203222262885491922e+01	9.592426445129083490e+00	9.842475089478023520e+00	1.081789225036232516e+01
5.499999999999999681e-03	-1.548059595892752682e+01	-1.326971933262434433e+01	-1.295910565041673124e+01	1.012208351585610444e+01	1.048720240367909895e+01	1.139499551099072505e+01
6.000000000000000125e-03	-1.664253156660973687e+01	-1.426770042572413288e+01	-1.393154052028538104e+01	1.069221955366709764e+01	1.120561437521896408e+01	1.203809722826407125e+01
6.500000000000000569e-03	-1.784611133152256812e+01	-1.530134175640023031e+01	-1.493922670907299377e+01	1.129809109213738338e+01	1.197753124879513109e+01	1.273450862788340743e+01
7.000000000000000146e-03	-1.908274317904965045e+01	-1.636315578375428714e+01	-1.597472955646501092e+01	1.193566286243028074e+01	1.278985996539148928e+01	1.347492567847378098e+01
7.499999999999999722e-03	-2.034600147238922574e+01	-1.744758779470902255e+01	-1.703255269293273244e+01	1.260286486930399263e+01	1.363288437885073279e+01	1.425265432029583224e+01
8.000000000000000167e-03	-2.163099727110410697e+01	-1.855043912862294775e+01	-1.810854860982147585e+01	1.330007790926934774e+01	1.449877673908442688e+01	1.506307740066218059e+01
8.500000000000000611e-03	-2.293395210078531576e+01	-1.966848174331655841e+01	-1.919953122410935364e+01	1.402924118403048581e+01	1.538090666128355011e+01	1.590319735464995077e+01
9.000000000000001055e-03	-2.425190394111654157e+01	-2.079919552406662930e+01	-2.030301402339038574e+01	1.479017371121367219e+01	1.627365060655739271e+01	1.677107822560938288e+01
9.499999999999999764e-03	-2.558250068764031226e+01	-2.194058561200290569e+01	-2.141702903014840587e+01	1.557838881027927158e+01	1.717263419313369610e+01	1.766508382838056690e+01
1.000000000000000021e-02	-2.692385255976023473e+01	-2.309105311216117684e+01	-2.253999891380236420e+01	1.638835572392052597e+01	1.807511950253035593e+01	1.858311862852416141e+01
