time 1	2	3	D-2	D-1	D
0.000000000000000000e+00	9.999999504223795466e-01	2.841396754412594656e-08	4.303573165789794731e-09	1.440311187543470698e-35	8.211011711485992889e-36	4.991534722675294184e-35
5.000000000000000104e-04	9.969432778860820576e-01	5.489843976981268321e-05	1.532762750015444102e-06	1.377998452482374895e-22	1.036358369477071626e-23	1.967621659420395156e-22
1.000000000000000021e-03	9.852729552194751106e-01	1.621875826384291779e-03	3.889961321951763284e-05	3.057968328353874726e-18	3.943913730859207063e-19	1.338129509213666644e-18
1.500000000000000031e-03	9.542962822567698788e-01	1.476772754424305646e-02	2.608665503733282980e-04	9.961512124400124569e-16	2.159274842750925902e-16	2.566950604705453853e-16
2.000000000000000042e-03	8.782624222086253818e-01	6.882029901962861962e-02	9.362762093253680119e-04	4.551966000350754951e-14	1.696164832845132969e-14	1.095565708827998578e-14
2.500000000000000052e-03	7.581994731883855421e-01	1.505054363150253594e-01	1.165681512127871022e-02	5.193943415613060036e-13	3.721678090119252322e-13	2.156171340462528638e-13
3.000000000000000062e-03	6.534932848875424360e-01	7.004462321668390723e-02	1.065760286764447923e-01	6.067683707122211640e-13	3.110800980516430942e-12	2.473145300721260631e-12
3.500000000000000073e-03	5.902338455946264384e-01	4.777288094939274171e-02	7.131068297326503824e-02	5.954357932118955962e-12	1.604396375941652632e-11	1.490891215849173011e-11
4.000000000000000083e-03	5.571252472482072227e-01	4.465804452071177322e-02	4.735129306049759568e-02	2.381612953828240659e-11	9.216647100027427675e-11	4.911049486946905146e-11
4.500000000000000527e-03	5.407820331564086036e-01	4.461877613998983805e-02	4.001795056064337552e-02	1.099423469632557888e-11	2.537257267057019927e-10	1.082307302207951515e-10
5.000000000000000104e-03	5.331968696897367854e-01	4.519805918706755465e-02	3.682294895212201435e-02	2.906578106760285860e-12	3.653509970244569495e-10	1.867206618401760234e-10
5.499999999999999681e-03	5.301655257112065645e-01	4.608558331161199256e-02	3.487286173072833007e-02	2.610787937435649111e-11	4.144112516020231858e-10	2.766257147219160374e-10
6.000000000000000125e-03	5.295147318326848263e-01	4.700541275211315984e-02	3.352166943140758720e-02	5.102908161732580544e-11	4.301212087894024819e-10	3.716902613910015031e-10
6.500000000000000569e-03	5.301008109043560124e-01	4.800205126167085556e-02	3.240660580354973175e-02	7.165192237611076953e-11	4.207471149566142635e-10	4.685149564283640211e-10
7.000000000000000146e-03	5.313074437457657728e-01	4.875764338906161954e-02	3.171595077539188928e-02	8.998159243153448761e-11	3.881471364013115336e-10	5.660556662535647466e-10
7.499999999999999722e-03	5.327961449089244628e-01	4.947223271984885207e-02	3.118651854476471932e-02	1.080244206633123183e-10	3.351053351805881539e-10	6.643469859842885739e-10
8.000000000000000167e-03	5.343794627503078987e-01	5.033518962962108684e-02	3.060225868000709948e-02	1.239270752399944641e-10	2.658076101351435674e-10	7.626629274448710937e-10
8.500000000000000611e-03	5.359542250850036771e-01	5.104502249653723039e-02	3.023119482939901070e-02	1.319782903370440474e-10	1.874852434255671229e-10	8.572492442584218887e-10
9.000000000000001055e-03	5.374652483307315043e-01	5.172915855865910240e-02	2.993581075632689714e-02	1.269705999207282699e-10	1.113251698856334224e-10	9.400124097858548576e-10
9.499999999999999764e-03	5.388850136771481392e-01	5.238767467229757391e-02	2.970161205072587712e-02	1.143065672834719327e-10	5.034585330940749267e-11	1.000479575001713000e-09
1.000000000000000021e-02	5.402038801312154526e-01	5.302403935872607166e-02	2.951458808953637616e-02	1.012162194569803453e-10	1.331148912864948185e-11	1.031863062269831138e-09
