# Parameters
$ K = 4
$ N = 12
$ M = 12
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	E
0	1.0000000000000000e+00	0	-2.4519819744623056e-01	-9.2927703231510483e-01	-4.2955945014448016e-01	-4.5944503777111240e-01	-7.3457229471768981e-01	-6.1642457133615547e-01	-4.7074233817021693e-01	-6.0438229591037174e-01	-6.9086135992649267e-01	-3.6352583947518330e-01	-2.7149057029442480e-01	-8.3971640869081488e-01	2.6620422659688545e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-2.4743440197698374e-01	-9.3555946064508466e-01	-4.3147164670960458e-01	-4.5822151203074352e-01	-7.3648859038551051e-01	-6.2511085310021441e-01	-4.7522882049782550e-01	-6.0562140201299308e-01	-6.8944360261545512e-01	-3.6657135937724672e-01	-2.7591679580950673e-01	-8.4385235134837255e-01	2.6554082986483549e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-2.4970082478241318e-01	-9.4184815722682125e-01	-4.3339368168320058e-01	-4.5695179014192694e-01	-7.3839775873825475e-01	-6.3385347077932896e-01	-4.7976809902780404e-01	-6.0685267749338756e-01	-6.8793302338242457e-01	-3.6968082517483453e-01	-2.8039985827008823e-01	-8.4799349316645811e-01	2.6488168200685562e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-2.5199766805572371e-01	-9.4814167831034379e-01	-4.3532544112475591e-01	-4.5563563774364191e-01	-7.4030014008084499e-01	-6.4265081869296192e-01	-4.8436032974684640e-01	-6.0807635438305718e-01	-6.8632891616484493e-01	-3.7285511354816542e-01	-2.8494005460182192e-01	-8.5213939825919183e-01	2.6422681497290119e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-2.5432512171370336e-01	-9.5443853836279002e-01	-4.3726679880416308e-01	-4.5427283140505675e-01	-7.4219606463472321e-01	-6.5150120773938480e-01	-4.8900563974593214e-01	-6.0929267267412612e-01	-6.8463060316697755e-01	-3.7609507066983905e-01	-2.8953766312902379e-01	-8.5628961778960277e-01	2.6357626090244453e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-2.5668336286766019e-01	-9.6073720983815392e-01	-4.3921761586497143e-01	-4.5286315895494123e-01	-7.4408585045602837e-01	-6.6040286322868402e-01	-4.9370412572812672e-01	-6.1050188002321659e-01	-6.8283743613238257e-01	-3.7940150963849301e-01	-2.9419294254148132e-01	-8.6044368966850227e-01	2.6293005212436866e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-2.5907255529781914e-01	-9.6703612299026187e-01	-4.4117774049662811e-01	-4.5140641981660923e-01	-7.4596980128355073e-01	-6.6935392271057004e-01	-4.9845585247800395e-01	-6.1170423142934027e-01	-6.8094879765663696e-01	-3.8277520783586871e-01	-2.9890613083115020e-01	-8.6460113824985974e-01	2.6228822115680908e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-2.6149284893239966e-01	-9.7333366573157010e-01	-4.4314700761692905e-01	-4.4990242534842884e-01	-7.4784820431920063e-01	-6.7835243380221844e-01	-5.0326085129330289e-01	-6.1289998888526198e-01	-6.7896410254077100e-01	-3.8621690420851118e-01	-3.0367744419869641e-01	-8.6876147402299231e-01	2.6165080070694042e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-2.6394437933261666e-01	-9.7962818354043668e-01	-4.4512523856594022e-01	-4.4835099918997395e-01	-7.4972132794413882e-01	-6.8739635202186844e-01	-5.0811911837963353e-01	-6.1408942100180897e-01	-6.7688279918574756e-01	-3.8972729647567428e-01	-3.0850707592992876e-01	-8.7292419330187299e-01	2.6101782367070401e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-2.6642726718490489e-01	-9.8591797941957926e-01	-4.4711224081268863e-01	-4.4675197761383062e-01	-7.5158941937414092e-01	-6.9648353863444012e-01	-5.1303061320918986e-01	-6.1527280260465067e-01	-6.7470437102810266e-01	-3.9330703826534380e-01	-3.1339519524223336e-01	-8.7708877791193773e-01	2.6038932313247334e+00
2.5000000000000001e-02	9.7499999999999998e-01	2.5000000000000001e-02	-2.6894161780165809e-01	-9.9220131390842325e-01	-4.4910780767595393e-01	-4.4510520988307345e-01	-7.5345270225823258e-01	-7.0561175851600133e-01	-5.1799525684464798e-01	-6.1645041430310699e-01	-6.7242833801666835e-01	-3.9695673618070093e-01	-3.1834194610120087e-01	-8.8125469487476404e-01	2.5976533236465276e+00
2.7500000000000000e-02	9.7250000000000003e-01	2.7500000000000000e-02	-2.7148752063183507e-01	-9.9847640515210945e-01	-4.5111171806051764e-01	-4.4341055861441697e-01	-7.5531137422508288e-01	-7.1477867804447337e-01	-5.2301293022959960e-01	-6.1762254203059264e-01	-6.7005425813003849e-01	-4.0067694679973426e-01	-3.2334744600773319e-01	-8.8542139609105641e-01	2.5914588482720604e+00
2.9999999999999999e-02	9.6999999999999997e-01	2.9999999999999999e-02	-2.7406504878277405e-01	-1.0047414290299177e+00	-4.5312373621024538e-01	-4.4166790014699492e-01	-7.5716560438215186e-01	-7.2398186302458467e-01	-5.2808347244711396e-01	-6.1878947655635475e-01	-6.6758172893422540e-01	-4.0446817361117576e-01	-3.2841178475600363e-01	-8.8958831802240046e-01	2.5853101416711044e+00
3.2500000000000001e-02	9.6750000000000003e-01	3.2500000000000001e-02	-2.7667425855459282e-01	-1.0109945193459011e+00	-4.5514361147941623e-01	-4.3987712491674208e-01	-7.5901553077307815e-01	-7.3321877665567636e-01	-5.3320667894822915e-01	-6.1995151296822348e-01	-6.6501038917961175e-01	-4.0833086389039019e-01	-3.3353502316274902e-01	-8.9375488137227388e-01	2.5792075421773126e+00
3.5000000000000003e-02	9.6499999999999997e-01	3.5000000000000003e-02	-2.7931518898854790e-01	-1.0172337680844987e+00	-4.5717107812370700e-01	-4.3803813783627232e-01	-7.6086125779932223e-01	-7.4248677755162218e-01	-5.3838229975243290e-01	-6.2110895012614231e-01	-6.6233992043607337e-01	-4.1226540551934143e-01	-3.3871719176847809e-01	-8.9792049076686065e-01	2.5731513899811356e+00
3.7499999999999999e-02	9.6250000000000002e-01	3.7499999999999999e-02	-2.8198786143073273e-01	-1.0234572257339130e+00	-4.5920585511227002e-01	-4.3615085868017689e-01	-7.6270285361261447e-01	-7.5178311782273766e-01	-5.4361003762243565e-01	-6.2226209008632305e-01	-6.5957004876476677e-01	-4.1627212375530592e-01	-3.4395828951130236e-01	-9.0208453443624792e-01	2.5671420271218492e+00
4.0000000000000001e-02	9.5999999999999996e-01	4.0000000000000001e-02	-2.8469227911249118e-01	-1.0296629016799903e+00	-4.6124764596232881e-01	-4.3421522247559030e-01	-7.6454034748530753e-01	-7.6110494123025352e-01	-5.4888954621582231e-01	-6.2341123749594585e-01	-6.5670054642476927e-01	-4.2035127795353133e-01	-3.4925828237421092e-01	-9.0624638389661383e-01	2.5611797974786481e+00
4.2500000000000003e-02	9.5750000000000002e-01	4.2500000000000003e-02	-2.8742842674892810e-01	-1.0358487646733465e+00	-4.6329613859773305e-01	-4.3223117989786752e-01	-7.6637372716629848e-01	-7.7044928142454960e-01	-5.5422042821644590e-01	-6.2455669895837496e-01	-6.5373123361236085e-01	-4.2450305824963747e-01	-3.5461710200674090e-01	-9.1040539363407991e-01	2.5552650467607565e+00
4.4999999999999998e-02	9.5499999999999996e-01	4.4999999999999998e-02	-2.9019627015684912e-01	-1.0420127433723865e+00	-4.6535100523289907e-01	-4.3019869767116786e-01	-7.6820293623074587e-01	-7.7981306027905040e-01	-5.5960223344872417e-01	-6.2569878236897924e-01	-6.5066198023038269e-01	-4.2872758220816193e-01	-3.6003464432214732e-01	-9.1456090079093399e-01	2.5493981224964979e+00
4.7500000000000001e-02	9.5250000000000001e-01	4.7500000000000001e-02	-2.9299575589347715e-01	-1.0481527269648856e+00	-4.6741190228353802e-01	-4.2811775897371773e-01	-7.7002787143239804e-01	-7.8919308633231511e-01	-5.6503445697832255e-01	-6.2683779622170743e-01	-6.4749270768466372e-01	-4.3302489144428236e-01	-3.6551076807130012e-01	-9.1871222485496451e-01	2.5435793740212698e+00
5.0000000000000003e-02	9.4999999999999996e-01	5.0000000000000003e-02	-2.9582681091723489e-01	-1.0542665658706423e+00	-4.6947847030557710e-01	-4.2598836384747119e-01	-7.7184838006792200e-01	-7.9858605335156430e-01	-5.7051653720300333e-01	-6.2797404888667507e-01	-6.4422339070409484e-01	-4.3739494822640729e-01	-3.7104529339471415e-01	-9.2285866735273248e-01	2.5378091524643658e+00
5.2499999999999998e-02	9.4750000000000001e-01	5.2499999999999998e-02	-2.9868934227186000e-01	-1.0603520725277062e+00	-4.7155033396361679e-01	-4.2381052961186710e-01	-7.7366425736320343e-01	-8.0798853903148404e-01	-5.7604785393779845e-01	-6.2910784785911622e-01	-6.4085405918049343e-01	-4.4183763206801602e-01	-3.7663800035425793e-01	-9.2699951154760163e-01	2.5320878107345828e+00
5.5000000000000000e-02	9.4499999999999995e-01	5.5000000000000000e-02	-3.0158323679505822e-01	-1.0664070222645496e+00	-4.7362710203026870e-01	-4.2158429128131097e-01	-7.7547524389217548e-01	-8.1739700384283098e-01	-5.8162772649896577e-01	-6.3023949898015152e-01	-6.3738480002390263e-01	-4.4635273631781391e-01	-3.8228862744627645e-01	-9.3113402214345142e-01	2.5264157035045538e+00
5.7500000000000002e-02	9.4250000000000000e-01	5.7500000000000002e-02	-3.0450836085285854e-01	-1.0724291542604334e+00	-4.7570836741762262e-01	-4.1930970198600048e-01	-7.7728102303929181e-01	-8.2680779004593818e-01	-5.8725541179157703e-01	-6.3136930562995819e-01	-6.3381575902852849e-01	-4.5093996475800413e-01	-3.8799687009802875e-01	-9.3526144499500241e-01	2.5207931871937470e+00
5.9999999999999998e-02	9.3999999999999995e-01	5.9999999999999998e-02	-3.0746456010076495e-01	-1.0784161725961074e+00	-4.7779370724208647e-01	-4.1698683339564685e-01	-7.7908121851733736e-01	-8.3621712088484224e-01	-5.9293010240593380e-01	-6.3249756789401201e-01	-6.3014714274399464e-01	-4.5559892822119508e-01	-3.9376237914953116e-01	-9.3938100682577208e-01	2.5152206199500542e+00
6.2500000000000000e-02	9.3750000000000000e-01	6.2500000000000000e-02	-3.1045165927272239e-01	-1.0843657473968440e+00	-4.7988268292373948e-01	-4.1461577614558731e-01	-7.8087539195280220e-01	-8.4562109997826018e-01	-5.9865092472839654e-01	-6.3362458170322267e-01	-6.2637922034610760e-01	-4.6032914123721796e-01	-3.9958475932309245e-01	-9.4349191495470563e-01	2.5096983616299080e+00
6.5000000000000002e-02	9.3500000000000005e-01	6.5000000000000002e-02	-3.1346946199883546e-01	-1.0902755160696012e+00	-4.8197484032128041e-01	-4.1219664026477409e-01	-7.8266304055156399e-01	-8.5501571092418882e-01	-6.0441693707256516e-01	-6.3475063794890063e-01	-6.2251232550080871e-01	-4.6513001872186976e-01	-4.0546356768303105e-01	-9.4759335703259806e-01	2.5042267737768600e+00
6.7500000000000004e-02	9.3250000000000000e-01	6.7500000000000004e-02	-3.1651775065270193e-01	-1.0961430846359910e+00	-4.8406970990356696e-01	-4.0972955560502017e-01	-7.8444359485813409e-01	-8.6439681713530880e-01	-6.1022712783716304e-01	-6.3587602157361778e-01	-6.1854685821446120e-01	-4.7000087272035151e-01	-4.1139831208825944e-01	-9.5168450078945976e-01	2.4988062195985492e+00
7.0000000000000007e-02	9.2999999999999994e-01	7.0000000000000007e-02	-3.1959628622909697e-01	-1.1019660291624680e+00	-4.8616680695864506e-01	-4.0721467227089336e-01	-7.8621641662218222e-01	-8.7376016192280781e-01	-6.1608041369733801e-01	-6.3700101063919257e-01	-6.1448328666313268e-01	-4.7494090921892723e-01	-4.1738844964065791e-01	-9.5576449379404693e-01	2.4934370639419723e+00
