# Parameters
$ K = 2
$ N = 9
$ M = 9
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	E
0	1.0000000000000000e+00	0	-3.6212312927837470e-01	-7.2097059716071588e-01	-3.4905295540976722e-01	-5.4854411212457643e-01	-6.4287520969274048e-01	-7.0164264520018071e-01	-5.2701878965875337e-01	-3.3845457934315420e-01	-3.0441035827889018e-01	3.0000000000000000e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-3.6715051379817515e-01	-7.2616629311209990e-01	-3.5118537594367821e-01	-5.5157197896856691e-01	-6.4642818894952858e-01	-7.0450403622825264e-01	-5.2950462755748517e-01	-3.3972846201675300e-01	-3.0356640104174010e-01	2.9925194870650200e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-3.7222371253531505e-01	-7.3136469813855365e-01	-3.5333432547548260e-01	-5.5461799336874695e-01	-6.4999328858515182e-01	-7.0734832410554971e-01	-5.3199882042745639e-01	-3.4100808798583782e-01	-3.0268859823938571e-01	2.9850781095609444e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-3.7734205840676449e-01	-7.3656433501633534e-01	-3.5549984586235533e-01	-5.5768214964157192e-01	-6.5357023482731580e-01	-7.1017482279673261e-01	-5.3450128192493895e-01	-3.4229353743800861e-01	-3.0177678289029036e-01	2.9776761097179212e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-3.8250483210080949e-01	-7.4176368173316887e-01	-3.5768197246129130e-01	-5.6076443445955937e-01	-6.5715874497609295e-01	-7.1298284035624626e-01	-5.3701192315825774e-01	-3.4358489124077196e-01	-3.0083079997558249e-01	2.9703137301164571e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-3.8771126082150525e-01	-7.4696117129943429e-01	-3.5988073382052610e-01	-5.6386482648072822e-01	-6.6075852730845608e-01	-7.1577167915701057e-01	-5.3953065267027389e-01	-3.4488223086754688e-01	-2.9985050678411740e-01	2.9629912136602625e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-3.9296051706178908e-01	-7.5215519161850852e-01	-3.6209615136635809e-01	-5.6698329596886443e-01	-6.6436928098586401e-01	-7.1854063612947372e-01	-5.4205737642183105e-01	-3.4618563831972160e-01	-2.9883577325435529e-01	2.9557088035486641e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-3.9825171740959442e-01	-7.5734408541979736e-01	-3.6432823908578504e-01	-5.7011980440486620e-01	-6.6799069596500882e-01	-7.2128900301113907e-01	-5.4459199777620637e-01	-3.4749519604472617e-01	-2.9778648231253479e-01	2.9484667432485843e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-4.0358392139143912e-01	-7.6252615025802362e-01	-3.6657700320542486e-01	-5.7327430408945224e-01	-6.7162245291189848e-01	-7.2401606660660900e-01	-5.4713441748459501e-01	-3.4881098685009060e-01	-2.9670253020659504e-01	2.9412652764661145e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-4.0895613035816397e-01	-7.6769963858237733e-01	-3.6884244186722109e-01	-5.7644673773756494e-01	-6.7526422311939149e-01	-7.2672110905823151e-01	-5.4968453367267067e-01	-3.5013309381345858e-01	-2.9558382683531315e-01	2.9341046471176755e+00
2.5000000000000001e-02	9.7499999999999998e-01	2.5000000000000001e-02	-4.1436728641763199e-01	-7.7286275787915526e-01	-3.7112454480146251e-01	-5.7963703806485145e-01	-6.7891566842833884e-01	-7.2940340812739113e-01	-5.5224224182823800e-01	-3.5146160018853806e-01	-2.9443029607209431e-01	2.9269850993007678e+00
2.7500000000000000e-02	9.7250000000000003e-01	2.7500000000000000e-02	-4.1981627141934297e-01	-7.7801367089151463e-01	-3.7342329299771232e-01	-5.8284512736663741e-01	-6.8257644115245919e-01	-7.3206223748648025e-01	-5.5480743479002614e-01	-3.5279658930697688e-01	-2.9324187608285018e-01	2.9199068772643484e+00
2.9999999999999999e-02	9.6999999999999997e-01	2.9999999999999999e-02	-4.2530190599607137e-01	-7.8315049591996810e-01	-3.7573865837425252e-01	-5.8607091708987857e-01	-6.8624618400709536e-01	-7.3469686702156811e-01	-5.5738000273763388e-01	-3.5413814447615199e-01	-2.9201851963739683e-01	2.9128702253788044e+00
3.2500000000000001e-02	9.6750000000000003e-01	3.2500000000000001e-02	-4.3082294866775683e-01	-7.8827130720722083e-01	-3.7807060344670690e-01	-5.8931430739860691e-01	-6.8992453004197096e-01	-7.3730656314578047e-01	-5.5995983318266795e-01	-3.5548634887288216e-01	-2.9076019441378836e-01	2.9058753881055654e+00
3.5000000000000003e-02	9.6499999999999997e-01	3.5000000000000003e-02	-4.3637809501298558e-01	-7.9337413541091439e-01	-3.8041908099655403e-01	-5.9257518673345189e-01	-6.9361110257809688e-01	-7.3989058912336902e-01	-5.6254681096108972e-01	-3.5684128543305832e-01	-2.8946688329500697e-01	2.8989226099663510e+00
3.7499999999999999e-02	9.6250000000000002e-01	3.7499999999999999e-02	-4.4196597691350781e-01	-7.9845696816778655e-01	-3.8278403374025471e-01	-5.9585343136586610e-01	-6.9730551514893735e-01	-7.4244820540444645e-01	-5.6514081822679441e-01	-3.5820303673722220e-01	-2.8813858465741016e-01	2.8920121355120596e+00
4.0000000000000001e-02	9.5999999999999996e-01	4.0000000000000001e-02	-4.4758516187732861e-01	-8.0351775075268572e-01	-3.8516539399978528e-01	-5.9914890494774131e-01	-7.0100737144598524e-01	-7.4497866997034345e-01	-5.6774173444644527e-01	-3.5957168489210639e-01	-2.8677531265035244e-01	2.8851442092913233e+00
4.2500000000000003e-02	9.5750000000000002e-01	4.2500000000000003e-02	-4.5323415244595983e-01	-8.0855438683578684e-01	-3.8756308337539602e-01	-6.0246145805716134e-01	-7.0471626526884790e-01	-7.4748123868951133e-01	-5.7034943639557711e-01	-3.6094731140817193e-01	-2.8537709746637391e-01	2.8783190758187307e+00
4.4999999999999998e-02	9.5499999999999996e-01	4.4999999999999998e-02	-4.5891138569149981e-01	-8.1356473934124529e-01	-3.8997701242144950e-01	-6.0579092774107424e-01	-7.0843178047998889e-01	-7.4995516568390042e-01	-5.7296379815598109e-01	-3.6232999707318542e-01	-2.8394398560136319e-01	2.8715369795427281e+00
4.7500000000000001e-02	9.5250000000000001e-01	4.7500000000000001e-02	-4.6461523280919825e-01	-8.1854663141038719e-01	-3.9240708032624011e-01	-6.0913713705576034e-01	-7.1215349096423120e-01	-7.5239970370568909e-01	-5.7558469111438648e-01	-3.6371982182188101e-01	-2.8247604010409699e-01	2.8647981648132204e+00
5.0000000000000003e-02	9.4999999999999996e-01	5.0000000000000003e-02	-4.7034399881121763e-01	-8.2349784747239818e-01	-3.9485317459672353e-01	-6.1249989460598975e-01	-7.1588096059314421e-01	-7.5481410452425934e-01	-5.7821198396244222e-01	-3.6511686460176851e-01	-2.8097334081455350e-01	2.8581028758488753e+00
5.2499999999999998e-02	9.4750000000000001e-01	5.2499999999999998e-02	-4.7609592232724618e-01	-8.2841613442526718e-01	-3.9731517074912071e-01	-6.1587899408385638e-01	-7.1961374319443494e-01	-7.5719761932324858e-01	-5.8084554269800082e-01	-3.6652120323515336e-01	-2.7943598459041097e-01	2.8514513567041546e+00
5.5000000000000000e-02	9.4499999999999995e-01	5.5000000000000000e-02	-4.8186917551760511e-01	-8.3329920292958115e-01	-3.9979293200640414e-01	-6.1927421380829806e-01	-7.2335138252645304e-01	-7.5954949910752423e-01	-5.8348523062771074e-01	-3.6793291427744590e-01	-2.7786408552113462e-01	2.8448438512360710e+00
5.7500000000000002e-02	9.4250000000000000e-01	5.7500000000000002e-02	-4.8766186410441165e-01	-8.3814472881750390e-01	-4.0228630900368201e-01	-6.2268531626640433e-01	-7.2709341225791946e-01	-7.6186899511987638e-01	-5.8613090837090098e-01	-3.6935207287184418e-01	-2.7625777512907074e-01	2.8382806030707042e+00
5.9999999999999998e-02	9.3999999999999995e-01	5.9999999999999998e-02	-4.9347202752626906e-01	-8.4295035461905710e-01	-4.0479513950254553e-01	-6.2611204765764572e-01	-7.3083935595300142e-01	-7.6415535926722000e-01	-5.8878243386476226e-01	-3.7077875260048754e-01	-2.7461720255696442e-01	2.8317618555694732e+00
