# Parameters
$ K = 5
$ N = 12
$ M = 12
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	E
0	1.0000000000000000e+00	0	-6.7106241214704099e-01	-7.0348095537846544e-01	-5.0775939322234309e-01	-4.5738843183171196e-01	-5.2015203933657173e-01	-6.9522885391316791e-01	-5.5207890635277157e-01	-1.1657676304568909e-01	-1.2352839210281026e-01	-4.9747768027953565e-01	-1.3217683345036521e-01	-8.9854208927423573e-01	2.4340075007215143e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-6.7159171817713581e-01	-7.0055602789371385e-01	-5.0389993990894622e-01	-4.5735031970895579e-01	-5.1802360866045594e-01	-6.8878079538741654e-01	-5.4797369231273996e-01	-1.1248516570251968e-01	-1.2148674304757573e-01	-4.9703429570442326e-01	-1.2400013474362126e-01	-9.0224917661152282e-01	2.4279430230301009e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-6.7211828702673626e-01	-6.9761777334992581e-01	-5.0001885882800357e-01	-4.5733553067298510e-01	-5.1589986879095662e-01	-6.8226628910972731e-01	-5.4393276630162113e-01	-1.0836111183533295e-01	-1.1943780636959740e-01	-4.9662934702278205e-01	-1.1576298249154464e-01	-9.0598499907799690e-01	2.4219204395807137e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-6.7264223393244027e-01	-6.9466769251991090e-01	-4.9611634134138249e-01	-4.5734474268377356e-01	-5.1378194482504602e-01	-6.7568616207957310e-01	-5.3995986813665242e-01	-1.0420436016481273e-01	-1.1738147264445337e-01	-4.9626406162097292e-01	-1.0746550800960941e-01	-9.0974943682850640e-01	2.4159409878895737e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-6.7316366061871002e-01	-6.9170728858538610e-01	-4.9219253052221296e-01	-4.5737863146740848e-01	-5.1167096191363381e-01	-6.6904118290407466e-01	-5.3605871073438016e-01	-1.0001465468405325e-01	-1.1531761789811729e-01	-4.9593966052244071e-01	-9.9107821586286324e-02	-9.1354233711817578e-01	2.4100059318201410e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-6.7368265498824842e-01	-6.8873806732391851e-01	-4.8824752075025646e-01	-4.5743787062434327e-01	-5.0956804553655843e-01	-6.6233206091142982e-01	-5.3223297768669353e-01	-9.5791725106352227e-02	-1.1324610350695037e-01	-4.9565735835325281e-01	-9.0690014076595341e-02	-9.1736351362761359e-01	2.4041165623066818e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-6.7419929081470986e-01	-6.8576153732571943e-01	-4.8428135738409689e-01	-4.5752313172695358e-01	-5.0747432179820284e-01	-6.5555944543479139e-01	-5.2848632078464530e-01	-9.1535287358929115e-02	-1.1116677610226576e-01	-4.9541836330255740e-01	-8.2212158645538311e-02	-9.2121274576827483e-01	2.3982741980934423e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-6.7471362743767771e-01	-6.8277921023592014e-01	-4.8029403651248220e-01	-4.5763508440346767e-01	-5.0539091774042666e-01	-6.4872392527165845e-01	-5.2482235748043593e-01	-8.7245044124164242e-02	-1.0907946747962294e-01	-4.9522387707372589e-01	-7.3674312664317274e-02	-9.2508977796560266e-01	2.3924801864888559e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-6.7522570945998150e-01	-6.7979260101754813e-01	-4.7628550478737769e-01	-4.5777439640517981e-01	-5.0331896166925227e-01	-6.4182602832400493e-01	-5.2124466827762839e-01	-8.2920685430086308e-02	-1.0698399451310320e-01	-4.9507509482175927e-01	-6.5076519762339330e-02	-9.2899431891750617e-01	2.3867359041340159e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-6.7573556644747979e-01	-6.7680322823017403e-01	-4.7225565934149588e-01	-4.5794173365371021e-01	-5.0125958349153876e-01	-6.3486622142448790e-01	-5.1775679403938379e-01	-7.8561889291971304e-02	-1.0488015907491956e-01	-4.9497320507229553e-01	-5.6418812038087768e-02	-9.3292604082576513e-01	2.3810427577846141e+00
2.5000000000000001e-02	9.7499999999999998e-01	2.5000000000000001e-02	-6.7624321263150966e-01	-6.7381261431884110e-01	-4.6820434779336451e-01	-4.5813776026494313e-01	-4.9921391505765411e-01	-6.2784491035420276e-01	-5.1436223320419228e-01	-7.4168322407060921e-02	-1.0276774796082321e-01	-4.9491938961738696e-01	-4.7701212432028205e-02	-9.3688457859788976e-01	2.3754021851053793e+00
2.7500000000000000e-02	9.7250000000000003e-01	2.7500000000000000e-02	-6.7674864661436041e-01	-6.7082228590761039e-01	-4.6413136834318852e-01	-4.5836313854609240e-01	-4.9718309050593040e-01	-6.2076244005766812e-01	-5.1106443889841169e-01	-6.9739640904554007e-02	-1.0064653282188041e-01	-4.9491482338297638e-01	-3.8923737264782453e-02	-9.4086952901699206e-01	2.3698156554759713e+00
2.9999999999999999e-02	9.6999999999999997e-01	2.9999999999999999e-02	-6.7725185107822916e-01	-6.6783377409168276e-01	-4.6003646996308556e-01	-4.5861852896221517e-01	-4.9516824660444431e-01	-6.1361909506082124e-01	-5.0786681593470351e-01	-6.5275491153177323e-02	-9.8516270103320758e-02	-4.9496067426281976e-01	-3.0086398943861576e-02	-9.4488044987720776e-01	2.3642846708071024e+00
3.2500000000000001e-02	9.6750000000000003e-01	3.2500000000000001e-02	-6.7775279249818632e-01	-6.6484861472179901e-01	-4.5591935268552763e-01	-4.5890459006831585e-01	-4.9317052308546350e-01	-6.0641510009802568e-01	-5.0477271768534127e-01	-6.0775510628777160e-02	-9.6376700991292641e-02	-4.9505810291338409e-01	-2.1189208842288299e-02	-9.4891685908226775e-01	2.3588107663655866e+00
3.5000000000000003e-02	9.6499999999999997e-01	3.5000000000000003e-02	-6.7825142085988399e-01	-6.6186834867422406e-01	-4.5177966799410274e-01	-4.5922197840302253e-01	-4.9119106296762377e-01	-5.9915062095423044e-01	-5.0178544281928561e-01	-5.6239328844548506e-02	-9.4227551368489246e-02	-4.9520826250404648e-01	-1.2232180352457584e-02	-9.5297823370478263e-01	2.3533955116067919e+00
3.7499999999999999e-02	9.6250000000000002e-01	3.7499999999999999e-02	-6.7874766938283593e-01	-6.5889452209938026e-01	-4.4761701932101999e-01	-4.5957134833966140e-01	-4.8923101286069193e-01	-5.9182576552860156e-01	-4.9890823189188138e-01	-5.1666568346642974e-02	-9.2068531779768356e-02	-4.9541229841672740e-01	-3.2153321185725905e-03	-9.5706400900393851e-01	2.3480405110128704e+00
4.0000000000000001e-02	9.5999999999999996e-01	4.0000000000000001e-02	-6.7924145425024363e-01	-6.5592868664178638e-01	-4.4343096265605381e-01	-4.5995335189037573e-01	-4.8729152324753977e-01	-5.8444058512609320e-01	-4.9614426377609661e-01	-4.7056845778062822e-02	-8.9899337409036578e-02	-4.9567134788889039e-01	5.8613085490439362e-03	-9.6117357739928710e-01	2.3427474049349319e+00
4.2500000000000003e-02	9.5750000000000002e-01	4.2500000000000003e-02	-6.7973267434651385e-01	-6.5297239962372444e-01	-4.3922100727192509e-01	-4.6036863845878412e-01	-4.8537374873767886e-01	-5.7699507598358035e-01	-4.9349665192428493e-01	-4.2409773013881637e-02	-8.7719648068827205e-02	-4.9598653959364086e-01	1.4997702074539845e-02	-9.6530628739845670e-01	2.3375178704371753e+00
4.4999999999999998e-02	9.5499999999999996e-01	4.4999999999999998e-02	-6.8022121100376998e-01	-6.5002722418466785e-01	-4.3498661657141668e-01	-4.6081785453649848e-01	-4.8347884828651111e-01	-5.6948918103729596e-01	-4.9096844044967308e-01	-3.7724958370973102e-02	-8.5529128204181418e-02	-4.9635899315050669e-01	2.4193792828921937e-02	-9.6946144247669375e-01	2.3323536221407588e+00
4.7500000000000001e-02	9.5250000000000001e-01	4.7500000000000001e-02	-6.8070692775881647e-01	-6.4709472936825818e-01	-4.3072720906177403e-01	-4.6130164333866358e-01	-4.8160798537417981e-01	-5.6192279193841621e-01	-4.8856260001700308e-01	-3.3002007895559675e-02	-8.3327426912602198e-02	-4.9678981856026383e-01	3.3449505151304106e-02	-9.7363829990625084e-01	2.3272564130650362e+00
5.0000000000000003e-02	9.4999999999999996e-01	5.0000000000000003e-02	-6.8118967012221165e-01	-6.4417649014828038e-01	-4.2644215946224717e-01	-4.6182064437352732e-01	-4.7976232813769870e-01	-5.5429575132370290e-01	-4.8628202353211336e-01	-2.8240526732012376e-02	-8.1114177982049701e-02	-4.9728011555705032e-01	4.2764739176297244e-02	-9.7783606953385072e-01	2.3222280354635263e+00
5.2499999999999998e-02	9.4750000000000001e-01	5.2499999999999998e-02	-6.8166926536127337e-01	-6.4127408738480962e-01	-4.2213079995086583e-01	-4.6237549294088737e-01	-4.7794304944979227e-01	-5.4660785534816958e-01	-4.8412952162067618e-01	-2.3440120576436751e-02	-7.8888999949121769e-02	-4.9783097287084216e-01	5.2139366465106272e-02	-9.8205391250457952e-01	2.3172703216517823e+00
5.5000000000000000e-02	9.4499999999999995e-01	5.5000000000000000e-02	-6.8214552229902037e-01	-6.3838910770143753e-01	-4.1779242155679119e-01	-4.6296681955414315e-01	-4.7615132693767159e-01	-5.3885885648670018e-01	-4.8210781788686119e-01	-1.8600397218678850e-02	-7.6651496179758583e-02	-4.9844346739325268e-01	6.1573225438248648e-02	-9.8629093993081363e-01	2.3123851448240660e+00
5.7500000000000002e-02	9.4250000000000000e-01	5.7500000000000002e-02	-6.8261823113128062e-01	-6.3552314327423542e-01	-4.1342627570477963e-01	-4.6359524928052193e-01	-4.7438834293475196e-01	-5.3104846661149019e-01	-4.8021954394332428e-01	-1.3720968176448366e-02	-7.4401254975020259e-02	-4.9911866323949111e-01	7.1066116608233254e-02	-9.9054621150502020e-01	2.3075744198555141e+00
5.9999999999999998e-02	9.3999999999999995e-01	5.9999999999999998e-02	-6.8308716326434515e-01	-6.3267779152286008e-01	-4.0903157591852718e-01	-4.6426140099395968e-01	-4.7265528435812726e-01	-5.2317636035207760e-01	-4.7846723420471371e-01	-8.8014504253185605e-03	-7.2137849704669632e-02	-4.9985761069925327e-01	8.0617797611048522e-02	-9.9481873405556931e-01	2.3028401040861803e+00
6.2500000000000000e-02	9.3750000000000000e-01	6.2500000000000000e-02	-6.8355207117578398e-01	-6.2985465469402580e-01	-4.0460749968974913e-01	-4.6496588653499560e-01	-4.7095334250443271e-01	-5.1524217874450029e-01	-4.7685332043778039e-01	-3.8414682283802702e-03	-6.9860838971510797e-02	-5.0066134506924731e-01	9.0227978035909845e-02	-9.9910746004500273e-01	2.2981841980830868e+00
6.5000000000000002e-02	9.3500000000000005e-01	6.5000000000000002e-02	-6.8401268830121709e-01	-6.2705533932739133e-01	-4.0015319052001680e-01	-4.6570930977198560e-01	-4.6928371275655945e-01	-5.0724553317588583e-01	-4.7538012606219349e-01	1.1593449306694077e-03	-6.7569766809629131e-02	-5.0153088536005064e-01	9.9896314053411872e-02	-1.0034112860106152e+00	2.2936087463761279e+00
6.7500000000000004e-02	9.3250000000000000e-01	6.7500000000000004e-02	-6.8446872895004940e-01	-6.2428145559375237e-01	-3.9566776014240740e-01	-4.6649226555786655e-01	-4.6764759419355262e-01	-4.9918600963036136e-01	-4.7404986019738671e-01	6.2013443072634821e-03	-6.5264162919894675e-02	-5.0246723287000217e-01	1.0962240284304303e-01	-1.0077290509475718e+00	2.2891158381633843e+00
7.0000000000000007e-02	9.2999999999999994e-01	7.0000000000000007e-02	-6.8491988825336403e-01	-6.2153461649538511e-01	-3.9115029093002340e-01	-4.6731533857670032e-01	-4.6604618909590745e-01	-4.9106317324176246e-01	-4.7286461145206893e-01	1.1284871744854602e-02	-6.2943542946279268e-02	-5.0347136961889472e-01	1.1940577682193863e-01	-1.0120595346353096e+00	2.2847076079810615e+00
7.2499999999999995e-02	9.2749999999999999e-01	7.2499999999999995e-02	-6.8536584214736596e-01	-6.1881643691828880e-01	-3.8659983849840734e-01	-4.6817910207421626e-01	-4.6448070233838545e-01	-4.8287657315800842e-01	-4.7182634145456215e-01	1.6410253409404753e-02	-6.0607408796748433e-02	-5.0454425663435198e-01	1.2924589767780145e-01	-1.0164014559084560e+00	2.2803862363330052e+00
7.4999999999999997e-02	9.2500000000000004e-01	7.4999999999999997e-02	-6.8580624739595641e-01	-6.1612853252613753e-01	-3.8201543450872721e-01	-4.6908411646665493e-01	-4.6295234066245594e-01	-4.7462574772132693e-01	-4.7093687812379587e-01	2.1577797406083472e-02	-5.8255249012675175e-02	-5.0568683208393606e-01	1.3914215021009504e-01	-1.0207534708741179e+00	2.2761539502743702e+00
