# Parameters
$ K = 3
$ N = 9
$ M = 9
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	E
0	1.0000000000000000e+00	0	-8.2359051152227625e-01	-3.4694969567091322e-01	-4.5147343024344283e-01	-6.2202961139432633e-01	-3.3122125839641758e-01	-6.8347942192522060e-01	-4.0652382856450020e-01	-2.6514750206547139e-01	-6.7400097394714176e-01	2.5632360962189020e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-8.2545763621109025e-01	-3.4347344384858391e-01	-4.4951204634729680e-01	-6.2126535378361092e-01	-3.2880674294259676e-01	-6.8239733939336300e-01	-4.0626710113778430e-01	-2.6348288007258042e-01	-6.7435031210280694e-01	2.5568490328948412e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-8.2730816364669946e-01	-3.3996136496996432e-01	-4.4752998567947466e-01	-6.2046250118687774e-01	-3.2638491113481072e-01	-6.8126991233559842e-01	-4.0600344301068930e-01	-2.6180734703042308e-01	-6.7467566184825900e-01	2.5505045939164965e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-8.2914203565786448e-01	-3.3641426959531995e-01	-4.4552815937890639e-01	-6.1962108089381607e-01	-3.2395667687625945e-01	-6.8009737837393847e-01	-4.0573313212347373e-01	-2.6012119814648821e-01	-6.7497716789088791e-01	2.5442036454904202e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-8.3095919322939704e-01	-3.3283297865442202e-01	-4.4350748567203740e-01	-6.1874112796616010e-01	-3.2152295865026465e-01	-6.7887998397885641e-01	-4.0545645034819516e-01	-2.5842472747742440e-01	-6.7525498099799963e-01	2.5379470678920684e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-8.3275957626774910e-01	-3.2921832298957232e-01	-4.4146888899509668e-01	-6.1782268523300121e-01	-3.1908467896926329e-01	-6.7761798417338925e-01	-4.0517368335963261e-01	-2.5671822773214203e-01	-6.7550925784153115e-01	2.5317357556564457e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-8.3454312336454017e-01	-3.2557114290813843e-01	-4.3941329910492977e-01	-6.1686580328817120e-01	-3.1664276381852585e-01	-6.7631164224126727e-01	-4.0488512050226627e-01	-2.5500199008038349e-01	-6.7574016083905508e-01	2.5255706177687443e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-8.3630977155821040e-01	-3.2189228774570799e-01	-4.3734165017921045e-01	-6.1587054048998457e-01	-3.1419814209465374e-01	-6.7496122944000470e-01	-4.0459105465324458e-01	-2.5327630396713280e-01	-6.7594785799111334e-01	2.5194525778546186e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-8.3805945609401244e-01	-3.1818261544093202e-01	-4.3525487990685213e-01	-6.1483696296362533e-01	-3.1175174503886927e-01	-6.7356702471990026e-01	-4.0429178208127808e-01	-2.5154145693326246e-01	-6.7613252271488578e-01	2.5133825743696994e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-8.3979211018249245e-01	-3.1444299212309196e-01	-4.3315392856942336e-01	-6.1376514460644849e-01	-3.0930450566507894e-01	-6.7212931444985180e-01	-4.0398760230137570e-01	-2.4979773444279038e-01	-6.7629433367421832e-01	2.5073615607879280e+00
2.5000000000000001e-02	9.7499999999999998e-01	2.5000000000000001e-02	-8.4150766475669170e-01	-3.1067429171337207e-01	-4.3103973811438551e-01	-6.1265516709648293e-01	-3.0685735818266380e-01	-6.7064839215092220e-01	-4.0367881792534410e-01	-2.4804541971714161e-01	-6.7643347460598369e-01	2.5013905057882471e+00
2.7500000000000000e-02	9.7250000000000003e-01	2.7500000000000000e-02	-8.4320604822822065e-01	-3.0687739554079019e-01	-4.2891325122095847e-01	-6.1150711990440121e-01	-3.0441123741393128e-01	-6.6912455823853034e-01	-4.0336573450796126e-01	-2.4628479357679547e-01	-6.7655013414276621e-01	2.4954703934391604e+00
2.9999999999999999e-02	9.6999999999999997e-01	2.9999999999999999e-02	-8.4488718624240777e-01	-3.0305319197366815e-01	-4.2677541035941946e-01	-6.1032110030925024e-01	-3.0196707820612417e-01	-6.6755811977417379e-01	-4.0304866038872522e-01	-2.4451613429070615e-01	-6.7664450563182954e-01	2.4896022233806416e+00
3.2500000000000001e-02	9.6750000000000003e-01	3.2500000000000001e-02	-8.4655100143269424e-01	-2.9920257606748046e-01	-4.2462715684465124e-01	-6.0909721341818590e-01	-2.9952581483786039e-01	-6.6594939022753041e-01	-4.0272790652907547e-01	-2.4273971743388095e-01	-6.7671678695031479e-01	2.4837870110028231e+00
3.5000000000000003e-02	9.6499999999999997e-01	3.5000000000000003e-02	-8.4819741317445996e-01	-2.9532644922985529e-01	-4.2246942988473035e-01	-6.0783557219049977e-01	-2.9708838041985847e-01	-6.6429868924979762e-01	-4.0240378634497842e-01	-2.4095581575350195e-01	-6.7676718031660987e-01	2.4780257876208700e+00
3.7499999999999999e-02	9.6250000000000002e-01	3.7499999999999999e-02	-8.4982633733846802e-01	-2.9142571890344737e-01	-4.2030316562538617e-01	-6.0653629746618665e-01	-2.9465570628977561e-01	-6.6260634245907213e-01	-4.0207661553475471e-01	-2.3916469904398094e-01	-6.7679589209781221e-01	2.4723196006454042e+00
4.0000000000000001e-02	9.5999999999999996e-01	4.0000000000000001e-02	-8.5143768604409442e-01	-2.8750129826732190e-01	-4.1812929619112005e-01	-6.0519951799931326e-01	-2.9222872140095935e-01	-6.6087268123857923e-01	-4.0174671190202887e-01	-2.3736663403132194e-01	-6.7680313261319547e-01	2.4666695137478087e+00
4.2500000000000003e-02	9.5750000000000002e-01	4.2500000000000003e-02	-8.5303136741253927e-01	-2.8355410595743041e-01	-4.1594874872381610e-01	-6.0382537049643736e-01	-2.8980835170490943e-01	-6.5909804254850379e-01	-4.0141439517366939e-01	-2.3556188426718486e-01	-6.7678911593357205e-01	2.4610766070196970e+00
4.4999999999999998e-02	9.5499999999999996e-01	4.4999999999999998e-02	-8.5460728532020347e-01	-2.7958506580668097e-01	-4.1376244441966015e-01	-6.0241399966031439e-01	-2.8739551952721737e-01	-6.5728276875216363e-01	-4.0107998681258217e-01	-2.3375071003302711e-01	-6.7675405967645230e-01	2.4555419771257929e+00
4.7500000000000001e-02	9.5250000000000001e-01	4.7500000000000001e-02	-8.5616533915241289e-01	-2.7559510660502545e-01	-4.1157129756519695e-01	-6.0096555823912856e-01	-2.8499114293674410e-01	-6.5542720745721728e-01	-4.0074380982520974e-01	-2.3193336825469979e-01	-6.7669818479685662e-01	2.4500667374494345e+00
5.0000000000000003e-02	9.4999999999999996e-01	5.0000000000000003e-02	-8.5770542355769852e-01	-2.7158516187990195e-01	-4.0937621457337259e-01	-5.9948020708147653e-01	-2.8259613510778331e-01	-6.5353171137256660e-01	-4.0040618856359628e-01	-2.3011011242788110e-01	-6.7662171537366622e-01	2.4446520182298674e+00
5.2499999999999998e-02	9.4750000000000001e-01	5.2499999999999998e-02	-8.5922742820281550e-01	-2.6755616969730001e-01	-4.0717809302041247e-01	-5.9795811519730446e-01	-2.8021140367495501e-01	-6.5159663818157865e-01	-4.0006744852185255e-01	-2.2828119255471543e-01	-6.7652487839135778e-01	2.4392989666904610e+00
5.5000000000000000e-02	9.4499999999999995e-01	5.5000000000000000e-02	-8.6073123752872904e-01	-2.6350907248360050e-01	-4.0497782068441163e-01	-5.9639945982501452e-01	-2.7783785008057099e-01	-6.4962235043220029e-01	-3.9972791612687397e-01	-2.2644685509202936e-01	-6.7640790351697810e-01	2.4340087471569181e+00
5.7500000000000002e-02	9.4250000000000000e-01	5.7500000000000002e-02	-8.6221673050776526e-01	-2.5944481686827803e-01	-4.0277627458653392e-01	-5.9480442650492371e-01	-2.7547636891420407e-01	-6.4760921544449346e-01	-3.9938791852313532e-01	-2.2460734291148812e-01	-6.7627102287219709e-01	2.4287825411645478e+00
5.9999999999999998e-02	9.3999999999999995e-01	5.9999999999999998e-02	-8.6368378040217397e-01	-2.5536435354743425e-01	-4.0057432003572641e-01	-5.9317320915924676e-01	-2.7312784724421718e-01	-6.4555760523607886e-01	-3.9904778335140495e-01	-2.2276289527204599e-01	-6.7611447080029408e-01	2.4236215475535881e+00
6.2500000000000000e-02	9.3750000000000000e-01	6.2500000000000000e-02	-8.6513225452433185e-01	-2.5126863716803927e-01	-3.9837280967790079e-01	-5.9150601017876825e-01	-2.7079316394100650e-01	-6.4346789646591218e-01	-3.9870783852120512e-01	-2.2091374780504999e-01	-6.7593848362790188e-01	2.4185269825515596e+00
6.5000000000000002e-02	9.3500000000000005e-01	6.5000000000000002e-02	-8.6656201399883737e-01	-2.4715862623266524e-01	-3.9617258255055365e-01	-5.8980304051634524e-01	-2.6847318899172457e-01	-6.4134047039676623e-01	-3.9836841197684203e-01	-2.1906013251232340e-01	-6.7574329942135369e-01	2.4135000798415644e+00
6.7500000000000004e-02	9.3250000000000000e-01	6.7500000000000004e-02	-8.6797291352679140e-01	-2.4303528302436325e-01	-3.9397446314382806e-01	-5.8806451978735719e-01	-2.6616878280628392e-01	-6.3917571287673947e-01	-3.9802983145684084e-01	-2.1720227777757467e-01	-6.7552915773747668e-01	2.4085420906154305e+00
7.0000000000000007e-02	9.2999999999999994e-01	7.0000000000000007e-02	-8.6936480115252013e-01	-2.3889957355125074e-01	-3.9177926046907008e-01	-5.8629067637721888e-01	-2.6388079551445293e-01	-6.3697401434003120e-01	-3.9769242424660844e-01	-2.1534040839144225e-01	-6.7529629936867130e-01	2.4036542836105532e+00
7.2499999999999995e-02	9.2749999999999999e-01	7.2499999999999995e-02	-8.7073751803307498e-01	-2.3475246751025250e-01	-3.8958776713596083e-01	-5.8448174755601923e-01	-2.6161006625390115e-01	-6.3473576982719071e-01	-3.9735651692415180e-01	-2.1347474559047958e-01	-6.7504496608213216e-01	2.3988379451292392e+00
7.4999999999999997e-02	9.2500000000000004e-01	7.4999999999999997e-02	-8.7209089821082775e-01	-2.3059493826931304e-01	-3.8740075843936189e-01	-5.8263797960036390e-01	-2.5935742244907473e-01	-6.3246137902493715e-01	-3.9702243509868523e-01	-2.1160550711037399e-01	-6.7477540035307149e-01	2.3940943790393518e+00
7.7499999999999999e-02	9.2249999999999999e-01	7.7499999999999999e-02	-8.7342476838952177e-01	-2.2642796286730096e-01	-3.8521899145705524e-01	-5.8075962792242575e-01	-2.5712367908084505e-01	-6.3015124632561537e-01	-3.9669050314196541e-01	-2.0973290725366775e-01	-6.7448784509181758e-01	2.3894249067549951e+00
8.0000000000000002e-02	9.2000000000000004e-01	8.0000000000000002e-02	-8.7473894771415561e-01	-2.2225252203068252e-01	-3.8304320415961873e-01	-5.7884695720623169e-01	-2.5490963794690635e-01	-6.2780578090624373e-01	-3.9636104391219162e-01	-2.0785715697223378e-01	-6.7418254336467887e-01	2.3848308671959622e+00
