# Parameters
$ K = 5
$ N = 9
$ M = 9
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	E
0	1.0000000000000000e+00	0	-6.6258797138787640e-01	-3.4060547529523039e-01	-7.9394351641717564e-01	-1.1257544959190968e+00	-7.5794970748269741e-01	-3.0720455426810556e-01	-2.6073067736425543e-01	-7.6317381135765894e-01	-3.2926894826796943e-01	2.0765875381394170e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-6.7105728619745486e-01	-3.4834493309746012e-01	-7.9986206504484891e-01	-1.1362733784325652e+00	-7.6753402288649386e-01	-3.1447366965234969e-01	-2.7116265530227746e-01	-7.7210279767964241e-01	-3.3546311735968815e-01	2.0714132208514853e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-6.7965022925838392e-01	-3.5623591373300478e-01	-8.0584851889715725e-01	-1.1468894466488193e+00	-7.7727146843091899e-01	-3.2187456949594523e-01	-2.8180155896243242e-01	-7.8119844362392576e-01	-3.4178307853361778e-01	2.0662727736790889e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-6.8836775732118605e-01	-3.6428094287988205e-01	-8.1190377846060691e-01	-1.1576018551352774e+00	-7.8716367485861649e-01	-3.2940932817442753e-01	-2.9265014749030221e-01	-7.9046330763371975e-01	-3.4823137513240976e-01	2.0611655371580806e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-6.9721076511428426e-01	-3.7248254277092441e-01	-8.1802873790939501e-01	-1.1684096207298380e+00	-7.9721220455281816e-01	-3.3708002500646461e-01	-3.0371112769457859e-01	-7.9989988666479495e-01	-3.5481057249866654e-01	2.0560908383837968e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-7.0618007985709841e-01	-3.8084322785632624e-01	-8.2422428313318141e-01	-1.1793116146397093e+00	-8.0741854378135469e-01	-3.4488874155802163e-01	-3.1498714531444677e-01	-8.0951060648002804e-01	-3.6152325481976405e-01	2.0510479908154733e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-7.1527645548705476e-01	-3.8936550011073040e-01	-8.3049128960462981e-01	-1.1903065542447109e+00	-8.1778409446550038e-01	-3.5283755869889560e-01	-3.2648077566611505e-01	-8.1929781128380219e-01	-3.6837202162727306e-01	2.0460362940765306e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-7.2450056659257478e-01	-3.9805184396567905e-01	-8.3683062007719733e-01	-1.2013929946052249e+00	-8.2831016545620684e-01	-3.6092855339588564e-01	-3.3819451364066433e-01	-8.2926375266923891e-01	-3.7535948392849533e-01	2.0410550337510442e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-7.3385300204461690e-01	-4.0690472084785595e-01	-8.4324312210329322e-01	-1.2125693196764959e+00	-8.3899796330076282e-01	-3.6916379522626014e-01	-3.5013076302559393e-01	-8.3941057785178297e-01	-3.8248825994691521e-01	2.0361034811767951e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-7.4333425831991817e-01	-4.1592656330320171e-01	-8.4972962536258534e-01	-1.2238337332326106e+00	-8.4984858248358208e-01	-3.7754534259460121e-01	-3.6229182512282693e-01	-8.4974031716344189e-01	-3.8976097044768920e-01	2.0311808932352835e+00
2.5000000000000001e-02	9.7499999999999998e-01	2.5000000000000001e-02	-7.5294473250983274e-01	-4.2511976868676760e-01	-8.5629093878997453e-01	-1.2351842495053293e+00	-8.6086299512563957e-01	-3.8607523863552662e-01	-3.7467988663662027e-01	-8.6025487078309371e-01	-3.9718023362372396e-01	2.0262865121392299e+00
2.7500000000000000e-02	9.7250000000000003e-01	2.7500000000000000e-02	-7.6268471500943869e-01	-4.3448669239799204e-01	-8.6292784749240770e-01	-1.2466186835450945e+00	-8.7204204012820807e-01	-3.9475550678430832e-01	-3.8729700680575518e-01	-8.7095599467967844e-01	-4.0474865951738287e-01	2.0214195652181148e+00
2.9999999999999999e-02	9.6999999999999997e-01	2.9999999999999999e-02	-7.7255438188264591e-01	-4.4402964064111539e-01	-8.6964110944353989e-01	-1.2581346413137311e+00	-8.8338641174779153e-01	-4.0358814599692427e-01	-4.0014510375566859e-01	-8.8184528574692167e-01	-4.1246884395253147e-01	2.0165792647023610e+00
3.2500000000000001e-02	9.6750000000000003e-01	3.2500000000000001e-02	-7.8255378690009858e-01	-4.5375086269050230e-01	-8.7643145194496908e-01	-1.2697295095209782e+00	-8.9489664759083798e-01	-4.1257512560068932e-01	-4.1322594004781821e-01	-8.9292416611042280e-01	-4.2034336195135641e-01	2.0117648075069052e+00
3.5000000000000003e-02	9.6499999999999997e-01	3.5000000000000003e-02	-7.9268285324804499e-01	-4.6365254264094596e-01	-8.8329956784269303e-01	-1.2814004452197727e+00	-9.0657311601861668e-01	-4.2171837975628901e-01	-4.2654110740559675e-01	-9.0419386659064882e-01	-4.2837476061034074e-01	2.0069753750149086e+00
3.7499999999999999e-02	9.6250000000000002e-01	3.7499999999999999e-02	-8.0294136490776702e-01	-4.7373679062345986e-01	-8.9024611148727884e-01	-1.2931443651782117e+00	-9.1841600295491588e-01	-4.3101980151182323e-01	-4.4009201059861058e-01	-9.1565540930851141e-01	-4.3656555140990450e-01	2.0022101328625173e+00
4.0000000000000001e-02	9.5999999999999996e-01	4.0000000000000001e-02	-8.1332895770688540e-01	-4.8400563346769171e-01	-8.9727169442625299e-01	-1.3049579350495371e+00	-9.3042529809177477e-01	-4.4048123642931908e-01	-4.5387985047008195e-01	-9.2730958942395147e-01	-4.4491820193253451e-01	1.9974682307256084e+00
4.2500000000000003e-02	9.5750000000000002e-01	4.2500000000000003e-02	-8.2384511004573369e-01	-4.9446100479295557e-01	-9.0437688081725287e-01	-1.3168375583650427e+00	-9.4260078049139762e-01	-4.5010447576422524e-01	-4.6790560609565868e-01	-9.3915695600227311e-01	-4.5343512696480043e-01	1.9927488021096138e+00
4.4999999999999998e-02	9.5499999999999996e-01	4.4999999999999998e-02	-8.3448913330410024e-01	-5.0510473451100502e-01	-9.1156218255064037e-01	-1.3287793653788356e+00	-9.5494200358581038e-01	-4.5989124917851482e-01	-4.8217001606597859e-01	-9.5119779200790433e-01	-4.6211867895953035e-01	1.9880509641435751e+00
