# Parameters
$ K = 5
$ N = 12
$ M = 12
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	E
0	1.0000000000000000e+00	0	-2.4544834150021805e-01	-7.9423786792329876e-01	-4.0456716856434921e-01	-6.5348367565313203e-01	-7.6207490686965174e-01	-2.9126032179380634e-01	-6.5228851906948315e-01	-5.3473352954066267e-01	-1.4973679009823743e-01	-2.2382691207849065e-01	-4.3813234627821035e-01	-1.2331699977637553e-01	2.4340075007215143e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-2.4960617388106396e-01	-8.0547921175031134e-01	-4.2116556914245085e-01	-6.6008494079937796e-01	-7.6830786395398210e-01	-3.0491200939784863e-01	-6.6132697479874458e-01	-5.4322553875877277e-01	-1.5478701027672886e-01	-2.2831395804346158e-01	-4.4223785848151287e-01	-1.2864760469775385e-01	2.4279481353103276e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-2.5384339765874553e-01	-8.1703063587594404e-01	-4.3808953276125806e-01	-6.6682661068579885e-01	-7.7466401821375896e-01	-3.1885836733121903e-01	-6.7063495983977228e-01	-5.5186833478617181e-01	-1.5994277289769521e-01	-2.3293000242699069e-01	-4.4642166878639206e-01	-1.3410291580586120e-01	2.4219397110040020e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-2.5816208571891547e-01	-8.2889672800657310e-01	-4.5534231508903866e-01	-6.7371158209001192e-01	-7.8114634314635811e-01	-3.3310505200925261e-01	-6.8021850226726344e-01	-5.6066514202500961e-01	-1.6520652664365468e-01	-2.3767821708025849e-01	-4.5068611975577277e-01	-1.3968534884485878e-01	2.4159816726070580e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-2.6256434726331457e-01	-8.4108172294673800e-01	-4.7292688799906846e-01	-6.8074274565489989e-01	-7.8775783569362268e-01	-3.4765766425916783e-01	-6.9008356879404054e-01	-5.6961920742174832e-01	-1.7058076868276495e-01	-2.4256182329551523e-01	-4.5503360548758920e-01	-1.4539735641555743e-01	2.4100734555131615e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-2.6705232488691655e-01	-8.5358946179745410e-01	-4.9084590111493259e-01	-6.8792297842057049e-01	-7.9450151048144368e-01	-3.6252172447276815e-01	-7.0023604378023485e-01	-5.7873379363711142e-01	-1.7606804356615482e-01	-2.4758408950885530e-01	-4.5946657066695751e-01	-1.5124142673908192e-01	2.4042144853061655e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-2.7162819122705645e-01	-8.6642334865193149e-01	-5.0910164063550134e-01	-6.9525513556079577e-01	-8.0138039327038979e-01	-3.7770264538351500e-01	-7.1068170621334970e-01	-5.8801217139459294e-01	-1.8167094183735438e-01	-2.5274832857297824e-01	-4.6398750936825950e-01	-1.5722008214098904e-01	2.3984041773368094e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-2.7629414515353040e-01	-8.7958630474440380e-01	-5.2769598537327300e-01	-7.0274204126975226e-01	-8.0839751355165690e-01	-3.9320570234122415e-01	-7.2142620453638862e-01	-5.9745761094249106e-01	-1.8739209832214221e-01	-2.5805789455918871e-01	-4.6859896358136477e-01	-1.6333587722650472e-01	2.3926419362751514e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-2.8105240746800542e-01	-8.9308072002402983e-01	-5.4663035995440479e-01	-7.1038647874406546e-01	-8.1555589622009139e-01	-4.0903600096024084e-01	-7.3247502920189289e-01	-6.0707337256161920e-01	-1.9323419006468276e-01	-2.6351617904548513e-01	-4.7330352143429044e-01	-1.6959139671537551e-01	2.3869271556389249e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-2.8590521608066005e-01	-9.0690840214494950e-01	-5.6590568514638528e-01	-7.1819117920474296e-01	-8.2285855225381088e-01	-4.2519844202133594e-01	-7.4383348283186035e-01	-6.1686269604826027e-01	-1.9919993387331636e-01	-2.6912660684517836e-01	-4.7810381508264466e-01	-1.7598925290255482e-01	2.3812592172981386e+00
