seed	N	K	time	
0	40	2	0.043255
0	50	2	0.061836
0	80	2	0.114688
0	110	2	0.19214
0	160	2	0.360114
0	220	2	0.617764
0	320	2	1.2542
0	450	2	2.43074
0	640	2	5.22349
0	900	2	11.3365
0	1280	2	26.5402
0	1810	2	65.3714
0	2560	2	142.719
0	3620	2	364.516
0	5120	2	1008
0	4370	2	614.455
0	3990	2	478.253
0	4180	2	554.976
0	4270	2	571.809
0	4320	2	554.468
0	4340	2	580.642
0	4350	2	603.938
0	4340	2	588.226
0	4350	2	591.074
0	4340	2	615.096
0	4350	2	591.953
0	40	2	0.057597
0	50	2	0.067782
0	80	2	0.118537
0	110	2	0.196966
0	160	2	0.36199
0	220	2	0.619875
0	320	2	1.24797
0	450	2	2.46895
0	640	2	5.23643
0	900	2	11.1677
0	1280	2	25.7936
0	1810	2	63.7531
0	2560	2	148.212
0	3620	2	373.907
0	5120	2	940.064
0	4370	2	590.51
0	4740	2	729.614
0	4550	2	684.381
0	4460	2	634.912
0	4410	2	616.585
0	4390	2	606.273
0	4380	2	615.417
0	4370	2	616.05
0	4380	2	617.669
0	4370	2	604.708
0	4380	2	627.363
0	4	3	0.016978
0	5	3	0.018119
0	6	3	0.020089
0	8	3	0.025824
0	10	3	0.034336
0	12	3	0.04049
0	16	3	0.067391
0	20	3	0.093703
0	25	3	0.147057
0	32	3	0.267031
0	40	3	0.522931
0	50	3	1.01201
0	64	3	2.17584
0	80	3	4.69326
0	101	3	9.38049
0	128	3	20.1481
0	161	3	39.2924
0	203	3	81.4359
0	256	3	174.307
0	322	3	369.812
0	406	3	2213.41
0	364	3	621.991
0	343	3	451.517
0	353	3	513.811
0	358	3	557.237
0	361	3	607.756
0	359	3	589.38
0	360	3	593.849
0	360	3	589.882
0	361	3	601.157
0	360	3	597.21
0	361	3	597.323
0	4	4	0.028346
0	5	4	0.030501
0	6	4	0.038854
0	7	4	0.046615
0	9	4	0.070992
0	11	4	0.109458
0	13	4	0.173217
0	15	4	0.28194
0	19	4	0.676929
0	22	4	1.25185
0	26	4	2.7713
0	31	4	6.54381
0	38	4	17.2274
0	45	4	39.692
0	53	4	74.1167
0	63	4	160.684
0	76	4	366.826
0	90	4	921.316
0	83	4	566.608
0	86	4	666.001
0	84	4	599.289
0	85	4	634.05
0	84	4	592.927
0	85	4	613.09
0	84	4	580.054
0	85	4	620.106
0	4	5	0.037447
0	5	5	0.053026
0	6	5	0.066955
0	8	5	0.126172
0	9	5	0.182888
0	10	5	0.274348
0	12	5	0.623011
0	13	5	0.941805
0	16	5	3.35175
0	18	5	7.12415
0	21	5	18.3923
0	24	5	43.9171
0	27	5	87.0121
0	32	5	245.624
0	36	5	491.86
0	42	5	1407.74
0	39	5	806.253
0	37	5	579.169
0	38	5	657.722
0	37	5	558.35
0	38	5	663.93
0	37	5	581.82
0	38	5	675.425
0	4300	2	593.722
0	4300	2	565.216
0	4310	2	579.286
0	4310	2	582.069
0	4320	2	578.539
0	4320	2	581.087
0	4330	2	575.587
0	4330	2	582.998
0	4340	2	602.638
0	4340	2	584.361
0	4350	2	594.828
0	4350	2	601.492
0	4360	2	613.381
0	4360	2	591.067
0	4370	2	599.783
0	4370	2	600.679
0	4380	2	586.862
0	4380	2	586.248
0	4390	2	608.579
0	4390	2	615.899
0	4400	2	611.835
0	4400	2	629.521
0	4410	2	608.383
0	4410	2	627.868
0	4300	2	577.739
0	4300	2	574.336
0	4310	2	590.783
0	4310	2	579.153
0	4320	2	584.122
0	4320	2	591.524
0	4330	2	567.17
0	4330	2	570.78
0	4340	2	573.149
0	4340	2	570.212
0	4350	2	574.699
0	4350	2	577.511
0	4360	2	592.498
0	4360	2	596.948
0	4370	2	600.88
0	4370	2	602.715
0	4380	2	603.64
0	4380	2	594.54
0	4390	2	614.289
0	4390	2	607.509
0	4400	2	616.172
0	4400	2	607.074
0	4410	2	634.994
0	4410	2	638.652

