seed_idx	K	mu_cpp	mu_paper	coeff_without_perturb	coeff_with_perturb	response
0	1	0	0	-0.4061271904027117	-0.4135554813533509	-0.9152973883270831
0	1	5	1	-0.6742985988542067	-0.6742985988542067	0.0
0	1	1	2	-0.34333640439910845	-0.34333640439910845	0.0
0	1	10	3	-1.0044812492150237	-1.0044812492150237	0.0
0	1	6	4	-0.6585948469455177	-0.6585948469455177	0.0
0	1	2	5	-0.3673817609547418	-0.3673817609547418	0.0
0	1	11	6	-0.753634816559415	-0.753634816559415	0.0
0	1	7	7	-0.7692911987492556	-0.7692911987492556	0.0
0	1	3	8	-1.0317054012677231	-1.0317054012677231	0.0
0	1	12	9	-0.3838945115775811	-0.3838945115775811	0.0
0	1	8	10	-0.20561800071521188	-0.20561800071521188	0.0
0	1	4	11	-0.5844873747620497	-0.5844873747620497	0.0
0	1	13	12	-0.17906282198493112	-0.17906282198493112	0.0
0	1	9	13	-0.6288664836948903	-0.6288664836948903	0.0
0	1	14	14	-0.8311813553357871	-0.8311813553357871	0.0
0	2	0	0	-0.3359524577772597	-0.34402450785666167	-1.1989946085730179
0	2	5	1	-0.5279779213372301	-0.5286642135149318	-0.06559766297258326
0	2	1	2	-0.3092295248358572	-0.30687522840186654	0.3859365242247523
0	2	10	3	-0.8992179942724242	-0.899218906633454	-5.1236411350077714e-05
0	2	6	4	-0.7964227343189105	-0.7962511009619747	0.010883837149890174
0	2	2	5	-0.5021029704802703	-0.5019073364932628	0.019679466562222366
0	2	11	6	-0.6890712135244615	-0.6890693992589154	0.0001329580092378043
0	2	7	7	-0.9192421154195345	-0.9192064409401777	0.0019598071767596916
0	2	3	8	-0.9829230834520166	-0.9829356776247786	-0.0006470301469010994
0	2	12	9	-0.45015745565469883	-0.4501530288238133	0.0004966012467572764
0	2	8	10	-0.1612634728410738	-0.16127123293146103	-0.002429950959397055
0	2	4	11	-0.4248446272748703	-0.4248554650886625	-0.0012881997231854684
0	2	13	12	-0.24371637301040322	-0.24371156515717138	0.000996203275380849
0	2	9	13	-0.4548911885948278	-0.4549057470811924	-0.0016161398398123596
0	2	14	14	-0.750276570852227	-0.7502810791002156	-0.00030343263903732004
0	3	0	0	-0.2783682528231633	-0.2873292733240545	-1.5999879157897674
0	3	5	1	-0.4080200591464938	-0.409258601024565	-0.15305518648181157
0	3	1	2	-0.316354550617307	-0.31238859329047225	0.6370708245796549
0	3	10	3	-0.8373352167659378	-0.8373277931758187	0.00044770685006015375
0	3	6	4	-0.8998755462385265	-0.899443001236242	0.024278979703168297
0	3	2	5	-0.6064281023865369	-0.6059252933609304	0.041887171840246394
0	3	11	6	-0.6759516965363802	-0.6759193419841436	0.002417170647138088
0	3	7	7	-1.027662275714876	-1.0275240418473826	0.006793138066980657
0	3	3	8	-0.9457149856456402	-0.9457657253230068	-0.0027092742334028524
