seed_idx	K	mu_cpp	mu_paper	coeff_without_perturb	coeff_with_perturb	response
0	1	0	0	-0.5827602059866569	-0.5929869869603448	-0.8785027777371933
0	1	5	1	-0.4307738325642475	-0.43077383256424756	-5.606443064448008e-15
0	1	1	2	-0.7700117014343679	-0.7700117014343679	0.0
0	1	10	3	-0.4362018472089106	-0.4362018472089106	0.0
0	1	6	4	-0.3368985524444054	-0.3368985524444054	0.0
0	1	2	5	-0.8966878309581283	-0.8966878309581283	0.0
0	1	11	6	-0.7705518675718515	-0.7705518675718515	0.0
0	1	7	7	-0.12256194064399475	-0.12256194064399475	0.0
0	1	3	8	-0.9425021976338551	-0.9425021976338551	0.0
0	1	12	9	-0.8205036927798475	-0.8205036927798475	0.0
0	1	8	10	-0.4358598885086645	-0.4358598885086645	0.0
0	1	4	11	-0.6003211395287661	-0.6003211395287661	0.0
0	1	13	12	-0.31366389320909055	-0.31366389320909055	0.0
0	1	9	13	-0.7312568241142554	-0.7312568241142554	0.0
0	1	14	14	-0.9032598502133126	-0.9032598502133126	0.0
0	2	0	0	-0.4512881720524209	-0.46235745224161146	-1.2236861219650226
0	2	5	1	-0.2806936221027494	-0.2798220098997525	0.15705186750944097
0	2	1	2	-0.579232833932314	-0.5779425714199002	0.1126124084137439
0	2	10	3	-0.33497526921568305	-0.3351450376212889	-0.02558652357145223
0	2	6	4	-0.24462119798937973	-0.24477596112841757	-0.031938409305939316
0	2	2	5	-0.7923769975541722	-0.7925260795416775	-0.009500132195722039
0	2	11	6	-0.6904569050117028	-0.6904573721137544	-3.416270391410156e-05
0	2	7	7	0.15357355618877033	0.15357216507373211	0.00045743117314921226
0	2	3	8	-0.8457323117414929	-0.8457359962632695	-0.00022000089343551194
0	2	12	9	-0.7838685475488288	-0.7838682470689267	1.9357508554482872e-05
0	2	8	10	-0.24514751713887764	-0.2451580295167849	-0.0021654159958266494
0	2	4	11	-0.3796113344613042	-0.37962816634827606	-0.0022390366022742077
0	2	13	12	-0.03288956322126647	-0.03291094792388535	-0.03282321709264774
0	2	9	13	-0.5630706058425723	-0.5630820837062787	-0.001029368720079343
0	2	14	14	-0.8378173896459786	-0.837820045084405	-0.0001600528321054145
0	3	0	0	-0.4038066387663702	-0.4154172462393374	-1.4314909264455764
0	3	5	1	-0.20259145444982865	-0.2010644185249529	0.3820737777094476
0	3	1	2	-0.4720223914440635	-0.4697702291872648	0.24151961213899242
0	3	10	3	-0.2977164635731416	-0.29817035260530333	-0.0769295474351151
0	3	6	4	-0.24830778265873976	-0.24873006815158255	-0.08580725039654434
0	3	2	5	-0.7627963542966631	-0.7632021985428409	-0.026860399244224675
0	3	11	6	-0.6437414382799546	-0.6437167894417702	0.001933617147251116
0	3	7	7	0.2941673315285967	0.29425852843188705	-0.01565292578906015
0	3	3	8	-0.8067849439005732	-0.8067780027003948	0.00043446604339150534
0	3	12	9	-0.8048596791321503	-0.8048661279745445	-0.00040461039704877766
0	3	8	10	-0.1970337685583307	-0.19705180002261816	-0.004621124263755021
0	3	4	11	-0.2686381858903762	-0.2686610480105837	-0.00429741667612981
0	3	13	12	0.12050588702170638	0.12047793031023607	0.011716702115683196
0	3	9	13	-0.487051723044332	-0.48706483336231016	-0.0013592817385767574
0	3	14	14	-0.8259862851807864	-0.8259867069123096	-2.5783406963887598e-05
0	4	0	0	-0.38395648265107607	-0.3960311973353307	-1.5636192663634463
0	4	5	1	-0.13891646066908853	-0.13677318446288536	0.785187938816534
0	4	1	2	-0.38712909640261844	-0.38402078638989734	0.407094340174603
0	4	10	3	-0.28181757806809454	-0.2826068230203431	-0.14122562231440985
0	4	6	4	-0.27890640084751955	-0.2796568398898324	-0.13569083424594236
0	4	2	5	-0.7571721029501703	-0.7578833742457093	-0.047414804089275016
0	4	11	6	-0.6054488047231259	-0.6053788861892392	0.0058319951080872305
0	4	7	7	0.404454928333307	0.40470436705599105	-0.03113415205265968
0	4	3	8	-0.7791873309139316	-0.7791595467521053	0.0018006957793957037
0	4	12	9	-0.8407555707715431	-0.8407881541457813	-0.0019570191431917557
0	4	8	10	-0.19120182374539307	-0.19124536020109673	-0.011497112650320706
0	4	4	11	-0.19454974190398094	-0.1945792381000866	-0.007655606792939645
0	4	13	12	0.24067372436766898	0.24065062223810504	0.004847539621797527
0	4	9	13	-0.43443706263066917	-0.4344477568684817	-0.0012430677800335656
0	4	14	14	-0.8295867900686984	-0.829585982879535	4.913499231241517e-05
0	5	0	0	-0.37937290688288733	-0.3918789207093727	-1.6378267050575397
0	5	5	1	-0.07941201405812262	-0.07665640327326137	1.7834263044697167
0	5	1	2	-0.312343554072674	-0.3084363572647642	0.6356829303986204
0	5	10	3	-0.27884778296237167	-0.28000844704430156	-0.2097559333644847
0	5	6	4	-0.3237833716696757	-0.3249088978440985	-0.1752364693172236
0	5	2	5	-0.7651494057746828	-0.7661962131983405	-0.06904000641475279
0	5	11	6	-0.5708306962512834	-0.5706979028026367	0.011748895394531606
0	5	7	7	0.5035251797154129	0.5039868275224663	-0.046277272936196004
0	5	3	8	-0.7542040621017068	-0.7541444318616604	0.003992749333001299
0	5	12	9	-0.8841878037859945	-0.8842683774053719	-0.004601567018064031
0	5	8	10	-0.20800744798236942	-0.20809887036138425	-0.022189902652548426
0	5	4	11	-0.14216476250640492	-0.14220432053173623	-0.014049452857521662
0	5	13	12	0.3456863910439748	0.34568439971369264	0.00029089714082717444
0	5	9	13	-0.3913700847590069	-0.3913721958728235	-0.0002723955677307057
0	5	14	14	-0.8410362444351148	-0.8410377662104777	-9.137189456638472e-05
1	1	0	0	-0.7459661446411119	-0.7581615623141825	-0.8188958428336399
1	1	5	1	-0.24279419706084643	-0.24279419706084643	0.0
1	1	1	2	-0.5655537157102805	-0.5655537157102805	0.0
1	1	10	3	-0.43084227449363527	-0.43084227449363527	0.0
1	1	6	4	-0.49236306208233516	-0.49236306208233516	0.0
1	1	2	5	-0.4696983094503855	-0.4696983094503855	0.0
1	1	11	6	-0.42506235065525577	-0.42506235065525577	0.0
1	1	7	7	-0.45302562095664595	-0.45302562095664595	0.0
1	1	3	8	-0.13045269745112362	-0.13045269745112362	0.0
1	1	12	9	-0.7289214466058533	-0.7289214466058533	0.0
1	1	8	10	-0.43858280934023425	-0.43858280934023425	0.0
1	1	4	11	-0.6007216690725042	-0.6007216690725042	0.0
1	1	13	12	-0.7314697037346476	-0.7314697037346476	0.0
1	1	9	13	-0.48422073595043424	-0.48422073595043424	0.0
1	1	14	14	-0.5623019724137667	-0.5623019724137667	0.0
1	2	0	0	-0.7112039658890925	-0.7237271342694812	-0.881457505530349
1	2	5	1	-0.06913319062394543	-0.06858869727520003	0.3992997665944874
1	2	1	2	-0.39131409396733935	-0.3906496078568154	0.08582357477618369
1	2	10	3	-0.3623364326083849	-0.36238719835819233	-0.007074659872745458
1	2	6	4	-0.36308188123269397	-0.3632299522760269	-0.02058989844001569
1	2	2	5	-0.3576402498092509	-0.35773251114516713	-0.013025503607312501
1	2	11	6	-0.24320520619179897	-0.2432132257615314	-0.0016651303115256914
1	2	7	7	-0.2256096257661869	-0.2256177823719979	-0.001825665400521774
1	2	3	8	0.062868656274668	0.0628564306768702	0.009820991671953275
1	2	12	9	-0.5724387656424935	-0.5724530152377548	-0.0012570289313831192
1	2	8	10	-0.33221366124251095	-0.3322204237994484	-0.0010279363248053054
1	2	4	11	-0.5792372489782196	-0.5792370727889287	1.5360320509711106e-05
1	2	13	12	-0.5609574765057882	-0.5609744692991342	-0.0015296971007968901
1	2	9	13	-0.33031166755699765	-0.33032542709088036	-0.0021035263103145302
1	2	14	14	-0.36502654776893184	-0.36504616699753845	-0.002714082170235638
1	3	0	0	-0.7042937952979543	-0.7169658447398348	-0.900517435522873
1	3	5	1	0.01935424097353574	0.02029349532952288	-2.3930582368696056
1	3	1	2	-0.2971730104843822	-0.2960275799734575	0.1950180880530722
1	3	10	3	-0.3526635944116056	-0.3527984146882535	-0.019301398188041427
1	3	6	4	-0.3379597736739298	-0.33835026959303033	-0.058314679495604406
1	3	2	5	-0.34148677872385474	-0.34173044325452556	-0.03601975133982598
1	3	11	6	-0.150715541394082	-0.15067829852447867	0.012480039184359483
1	3	7	7	-0.1141792358911057	-0.11411976699628744	0.026308315693093373
1	3	3	8	0.16387023076140242	0.16388803140162686	-0.005485158186547993
1	3	12	9	-0.51975113358711	-0.519778473163884	-0.002656208158862172
1	3	8	10	-0.31480884588768554	-0.31482158776861824	-0.002043878205494148
1	3	4	11	-0.5881482507612126	-0.5881493136885619	-9.126275308566815e-05
1	3	13	12	-0.48197928635306253	-0.48199997825510055	-0.002167903284850942
1	3	9	13	-0.26187838843412625	-0.2618951445405941	-0.0032309984089724728
1	3	14	14	-0.2772790014359129	-0.2773032095384177	-0.004408613203485319
1	4	0	0	-0.7059596404472142	-0.7187299855083029	-0.9053180596987923
1	4	5	1	0.08924813626780638	0.09055019099932583	-0.7314057446369289
1	4	1	2	-0.21987213025046376	-0.21829551495604244	0.3634080019281492
1	4	10	3	-0.35988792004800535	-0.36013193471587746	-0.034227774255863305
1	4	6	4	-0.3443142081278295	-0.34499587534321685	-0.09987691035143918
1	4	2	5	-0.35410439096040813	-0.35453843263264295	-0.06186019303358777
1	4	11	6	-0.0791714780619097	-0.07904936766688389	0.07794642529087548
1	4	7	7	-0.027961592742413395	-0.02778027536370345	0.32852364005513846
1	4	3	8	0.24400645851252317	0.24408566783217184	-0.01639010239915741
1	4	12	9	-0.49909429502353103	-0.49915411725047254	-0.006052448885250438
1	4	8	10	-0.3217418685487454	-0.32177685092386654	-0.005490290068337167
1	4	4	11	-0.6045293128919158	-0.6045400697928026	-0.0008985518142314505
1	4	13	12	-0.4260496157860222	-0.4260667512542326	-0.0020309734705823597
1	4	9	13	-0.21383351889072882	-0.21384815394357246	-0.0034560565249889307
1	4	14	14	-0.22367776111073187	-0.2237047335697518	-0.006089038745058737
1	5	0	0	-0.7124401668135495	-0.725283345114478	-0.9022271070338183
1	5	5	1	0.15315170187325874	0.15480814237248153	-0.5432417244321105
1	5	1	2	-0.14758451797354907	-0.14559755087172194	0.6844899921032501
1	5	10	3	-0.37664407042362424	-0.3770202296347154	-0.05040817508521165
1	5	6	4	-0.36927729600776893	-0.3702864391637558	-0.13781123461023811
1	5	2	5	-0.38373375890341865	-0.3843912472668001	-0.0864496929541231
1	5	11	6	-0.015345276164801054	-0.015103296474358244	0.8026538686784227
1	5	7	7	0.05020817544499118	0.05055720988775966	-0.34983707578425893
1	5	3	8	0.3166150644704451	0.316784963022376	-0.027090610476481067
1	5	12	9	-0.4963874023720545	-0.4965039984902032	-0.011860132096217259
1	5	8	10	-0.3413970714529545	-0.34147468494149336	-0.011479031232370629
1	5	4	11	-0.6247462089265118	-0.624777215685703	-0.0025062197971293726
1	5	13	12	-0.37958240650994796	-0.37958575247140125	-0.00044513334723160356
1	5	9	13	-0.173508532677182	-0.17351350308112073	-0.0014465778588024355
1	5	14	14	-0.1895803528679417	-0.18961306596345093	-0.00871300640707079
2	1	0	0	-0.9241276109501076	-0.9368241236721354	-0.6890698742995284
2	1	5	1	-0.7148190431585317	-0.7148190431585317	0.0
2	1	1	2	-0.6601408349562001	-0.6601408349562001	0.0
2	1	10	3	-0.5041899597726659	-0.5041899597726659	0.0
2	1	6	4	-0.47211153865810146	-0.47211153865810146	0.0
2	1	2	5	-0.4811144725773127	-0.4811144725773127	0.0
2	1	11	6	-0.9889361904433429	-0.9889361904433429	0.0
2	1	7	7	-0.2906556949124294	-0.29065569491242943	0.0
2	1	3	8	-0.597914612363045	-0.597914612363045	0.0
2	1	12	9	-0.6758655934810766	-0.6758655934810766	0.0
2	1	8	10	-0.5529840357805951	-0.5529840357805951	0.0
2	1	4	11	-0.22342463352689176	-0.22342463352689176	0.0
2	1	13	12	-0.6492517261136789	-0.6492517261136789	0.0
2	1	9	13	-0.555528380210807	-0.555528380210807	0.0
2	1	14	14	-0.2706745505136203	-0.2706745505136203	0.0
2	2	0	0	-0.8417934652642265	-0.85572024328594	-0.8286178593732718
2	2	5	1	-0.5824379931106638	-0.5815896104599247	0.07360982043518019
2	2	1	2	-0.4993828597653514	-0.49800158394220945	0.1398702269916048
2	2	10	3	-0.24206304023956673	-0.24223093752999642	-0.035014007318237214
2	2	6	4	-0.22571307222137296	-0.22599240232521225	-0.0624553470522593
2	2	2	5	-0.3661691174720776	-0.3662916547286514	-0.016896274961264626
2	2	11	6	-0.905794663483904	-0.9057901094326758	0.00025389048895972817
2	2	7	7	-0.039201083987776233	-0.03922378913325308	-0.02924001951854211
2	2	3	8	-0.5363608287081126	-0.5363658202630367	-0.0004699525024424845
2	2	12	9	-0.540833510717515	-0.5408550915608246	-0.0020149920635220667
2	2	8	10	-0.40889884564623163	-0.40892148373492815	-0.002795690155494493
2	2	4	11	-0.10032504755296946	-0.10035005735221418	-0.012587048080701602
2	2	13	12	-0.5101668444401758	-0.510191396114255	-0.0024301641846768743
2	2	9	13	-0.4944025776750035	-0.49441036146485634	-0.0007950311472328467
2	2	14	14	-0.13186668702248208	-0.13189233919992419	-0.009822546375236333
2	3	0	0	-0.8030007863424637	-0.8176552068017284	-0.9132650275877701
2	3	5	1	-0.5463342379946718	-0.5448390473432638	0.13839178211387762
2	3	1	2	-0.42954293985838315	-0.42718617848398643	0.27783078202197337
2	3	10	3	-0.09807528621353266	-0.0984759681425251	-0.20588832465740697
2	3	6	4	-0.12598307861096494	-0.12669380380318648	-0.2840825300064874
2	3	2	5	-0.3360380634161866	-0.3363632577149698	-0.048845164976738804
2	3	11	6	-0.8854262068462839	-0.885341352848673	0.004839694326240256
2	3	7	7	0.058670735466173664	0.058776354730996565	-0.0908255795633462
2	3	3	8	-0.5119819235418974	-0.5119648152867918	0.0016874679472467732
2	3	12	9	-0.49356055599271537	-0.49361239212422237	-0.0053033039612718335
2	3	8	10	-0.36074243634771364	-0.3607914127203582	-0.0068554677076791935
2	3	4	11	-0.033367537689776836	-0.033404950606577506	-0.05658889777049163
2	3	13	12	-0.4472834516673144	-0.4473094768506124	-0.002938160515368517
2	3	9	13	-0.47865674733518365	-0.4786597828576156	-0.00032024700031100666
2	3	14	14	-0.06662823875751077	-0.06666074015994378	-0.02462720075801812
2	4	0	0	-0.7767175047755549	-0.7919553361229233	-0.9810962761392192
2	4	5	1	-0.5354496995244817	-0.5333642884015806	0.19705946061899793
2	4	1	2	-0.3841781853251552	-0.3809825137415101	0.4218122544645485
2	4	10	3	0.009020172579386147	0.008345033360777835	3.9286156778689088
2	4	6	4	-0.06329041882078051	-0.06451480940732905	-0.9675910232516484
2	4	2	5	-0.3227359218782367	-0.3233249114451916	-0.09207494985549856
2	4	11	6	-0.881645339973276	-0.8814257500706756	0.0125791045321203
2	4	7	7	0.11732059092270197	0.117655892501495	-0.14411814882410529
2	4	3	8	-0.4977373214539726	-0.49767646675779353	0.006174440768951184
2	4	12	9	-0.4662923008512158	-0.4664220011366447	-0.014044280032904768
2	4	8	10	-0.33417834508922534	-0.3342991445278571	-0.018250943278813873
2	4	4	11	0.01591468040903422	0.015864402204923054	0.15978865641774093
2	4	13	12	-0.40543222507755705	-0.4054364709050134	-0.0005288335364531265
2	4	9	13	-0.4747166393699966	-0.47470773727584925	0.0009469760313772854
2	4	14	14	-0.023995467097106676	-0.024034974641791936	-0.08307507441749153
2	5	0	0	-0.7566636819457188	-0.7724121866130194	-1.0402382714479508
2	5	5	1	-0.536039894724292	-0.5333877439493847	0.25046951706938597
2	5	1	2	-0.35134551537228753	-0.34738241506036305	0.5728472076516209
2	5	10	3	0.09595610947889846	0.0949747049174351	0.5191382801080949
2	5	6	4	-0.017338591734374263	-0.019136690848185096	-4.982809829227796
2	5	2	5	-0.3147569204723294	-0.3156616435007721	-0.14494196056698494
2	5	11	6	-0.8854679523339319	-0.8850682976190292	0.022797504352056977
2	5	7	7	0.15603566986792342	0.15668994068450381	-0.21130117678625088
2	5	3	8	-0.48875971323349554	-0.4886341306777871	0.012976778808912778
2	5	12	9	-0.44666852391195927	-0.4469289241778735	-0.029431113784740965
2	5	8	10	-0.315887739768692	-0.31613373551109963	-0.039309992335959006
2	5	4	11	0.05572748965121819	0.055659765236417184	0.061406874834015364
2	5	13	12	-0.3748399093920658	-0.3747903466786312	0.006677519278426212
2	5	9	13	-0.47620058760862805	-0.47616982204741853	0.003262617268001674
2	5	14	14	0.007234653549495191	0.007179647718955064	0.3854112804849295
3	1	0	0	-0.6921359258741694	-0.7030340878961631	-0.7889366689905454
3	1	5	1	-0.7826645840299622	-0.7826645840299622	0.0
3	1	1	2	-0.8010112302031497	-0.8010112302031497	0.0
3	1	10	3	-0.33334171439477484	-0.33334171439477484	0.0
3	1	6	4	-0.39408741726642665	-0.39408741726642665	0.0
3	1	2	5	-0.8956287640977968	-0.8956287640977968	0.0
3	1	11	6	-0.639666790636889	-0.639666790636889	0.0
3	1	7	7	-0.3342076357928161	-0.3342076357928161	0.0
3	1	3	8	-0.6547452115190304	-0.6547452115190304	0.0
3	1	12	9	-0.5488132450985713	-0.5488132450985713	0.0
3	1	8	10	-0.28193664610108954	-0.28193664610108954	0.0
3	1	4	11	-0.7668862898027609	-0.7668862898027609	0.0
3	1	13	12	-0.19646308112770508	-0.19646308112770508	0.0
3	1	9	13	-0.645670299426262	-0.645670299426262	0.0
3	1	14	14	-0.278354802397108	-0.278354802397108	0.0
3	2	0	0	-0.4873944639917065	-0.5004414676158432	-1.3340078979667978
3	2	5	1	-0.6917864342572005	-0.6903480742923359	0.10510529967173064
3	2	1	2	-0.6179333490017722	-0.6157848605987789	0.17588332203070728
3	2	10	3	-0.1645828748755326	-0.16471061953216384	-0.039180213321935935
3	2	6	4	-0.12763083159018676	-0.1279857682656769	-0.14023915443980764
3	2	2	5	-0.7482711131895584	-0.7485372498141697	-0.017957489864225823
3	2	11	6	-0.5403495050842295	-0.5403325478377581	0.0015847639212259851
3	2	7	7	-0.14712671886476283	-0.14713054830207425	-0.0013143618625368783
3	2	3	8	-0.4894974655023053	-0.4895060107245264	-0.0008815486997963148
3	2	12	9	-0.43996117677948476	-0.43997487929186463	-0.001572737606252337
3	2	8	10	-0.08963818333079367	-0.08966345612693545	-0.014235614488487262
3	2	4	11	-0.6645541937516614	-0.6645688213761453	-0.0011115162245083083
3	2	13	12	-0.0793870113316982	-0.07939974517269868	-0.008099390309010752
3	2	9	13	-0.5469203220597721	-0.5469299639832361	-0.0008902520390135982
3	2	14	14	-0.20851807644670126	-0.2085244264127877	-0.0015377943803176277
