seed_idx	K	mu_cpp	mu_paper	coeff_without_perturb	coeff_with_perturb	response
0	1	0	0	-0.5827602059866569	-0.5929869869603448	-0.8785027777371933
0	1	5	1	-0.4307738325642475	-0.43077383256424756	-5.606443064448008e-15
0	1	1	2	-0.7700117014343679	-0.7700117014343679	0.0
0	1	10	3	-0.4362018472089106	-0.4362018472089106	0.0
0	1	6	4	-0.3368985524444054	-0.3368985524444054	0.0
0	1	2	5	-0.8966878309581283	-0.8966878309581283	0.0
0	1	11	6	-0.7705518675718515	-0.7705518675718515	0.0
0	1	7	7	-0.12256194064399475	-0.12256194064399475	0.0
0	1	3	8	-0.9425021976338551	-0.9425021976338551	0.0
0	1	12	9	-0.8205036927798475	-0.8205036927798475	0.0
0	1	8	10	-0.4358598885086645	-0.4358598885086645	0.0
0	1	4	11	-0.6003211395287661	-0.6003211395287661	0.0
0	1	13	12	-0.31366389320909055	-0.31366389320909055	0.0
0	1	9	13	-0.7312568241142554	-0.7312568241142554	0.0
0	1	14	14	-0.9032598502133126	-0.9032598502133126	0.0
0	2	0	0	-0.7811775359862811	-0.7904116008894271	-0.5934253358252359
0	2	5	1	-0.6493128982404567	-0.6500216785300439	-0.05509318258622747
0	2	1	2	-0.9996809172668129	-1.0006029951272624	-0.04655680460355527
0	2	10	3	-0.5961128218089056	-0.5962407258187794	-0.010833936743030436
0	2	6	4	-0.5817824888445883	-0.581887909885668	-0.009149650327507412
0	2	2	5	-1.0753542028613536	-1.0754394752634742	-0.004004210758033913
0	2	11	6	-0.8748561415529585	-0.8748510297136821	0.00029506588542422245
0	2	7	7	-0.5249138017217079	-0.5248890141001316	0.0023847030437242336
0	2	3	8	-1.1080453645484039	-1.108030031899356	0.000698779000130213
0	2	12	9	-0.970735614855229	-0.9707191993160678	0.0008539551191747821
0	2	8	10	-0.7821857997209716	-0.7821519128184344	0.0021878046463153773
0	2	4	11	-0.8727700636877453	-0.8727455260212046	0.0014197657992146514
0	2	13	12	-0.6766215829757902	-0.6765876434654584	0.00253307357261591
0	2	9	13	-0.9742671153474128	-0.9742439018990569	0.0012032170458727628
0	2	14	14	-1.03768238281113	-1.0376685743839318	0.0006719854146290608
0	3	0	0	-0.9324850925574311	-0.9409341227375699	-0.45549332547845495
0	3	5	1	-0.8353374178843042	-0.8363649606510933	-0.06207949604491533
0	3	1	2	-1.1627475695646818	-1.1639831653649368	-0.05363367049847816
0	3	10	3	-0.7325043241942247	-0.7328048310114073	-0.02071248722871938
0	3	6	4	-0.8196973610162535	-0.8199336934359267	-0.014557417958209005
0	3	2	5	-1.2195966703136398	-1.2197725466685714	-0.007281772390179049
0	3	11	6	-0.9592057285734238	-0.9592069852711794	-6.616007326136749e-05
0	3	7	7	-0.8487458977860406	-0.8487372041885924	0.00051725089266489
0	3	3	8	-1.2456450378122537	-1.245613386582813	0.001283154601765679
0	3	12	9	-1.127893488112938	-1.1278573087231472	0.0016198593245652698
0	3	8	10	-1.0628063549840412	-1.062737170647465	0.0032873425433451657
0	3	4	11	-1.0622649771681094	-1.0622150623588242	0.002372924624042349
0	3	13	12	-0.9487754318296762	-0.9487027004277183	0.0038712601913867698
0	3	9	13	-1.1588513728972227	-1.1588014031833427	0.002177537650977211
0	3	14	14	-1.1552104775986967	-1.1551777805591497	0.0014293238675207596
0	4	0	0	-1.063854670773605	-1.0715442578081535	-0.3636914199828244
0	4	5	1	-1.013108826270915	-1.0142909195764827	-0.0588870232600887
0	4	1	2	-1.3001593055200493	-1.3014779326792179	-0.05118968951784155
0	4	10	3	-0.8638000530905597	-0.8642450161947255	-0.02600615386094388
0	4	6	4	-1.0487477894798125	-1.0490744879207565	-0.015728436539489896
0	4	2	5	-1.345387344220317	-1.34561148541674	-0.008412311771559933
0	4	11	6	-1.037902567317691	-1.0379136981211303	-0.000541557762034032
0	4	7	7	-1.135828483707594	-1.1358428301694166	-0.0006378322805534067
0	4	3	8	-1.3659454071658097	-1.3658990418713566	0.0017141318998204764
0	4	12	9	-1.280351361320985	-1.2802993005810646	0.0020533698675859755
0	4	8	10	-1.3025038437809644	-1.3024087656617296	0.003686333359051358
0	4	4	11	-1.218102611565523	-1.2180302466522162	0.003000089829722091
0	4	13	12	-1.1828271531667895	-1.1827214184456514	0.004514326191234505
0	4	9	13	-1.3151590991256872	-1.3150854744206015	0.002827057338393197
0	4	14	14	-1.261809992961279	-1.261758827714189	0.00204770365200626
0	5	0	0	-1.1805223924112722	-1.1874585825688162	-0.29583612559533873
0	5	5	1	-1.1831134022528864	-1.1843327722233516	-0.05201907219952027
0	5	1	2	-1.4187948745615655	-1.4200604001858925	-0.045023048867345386
0	5	10	3	-0.9917151559855951	-0.9922605951137226	-0.027766243172090983
0	5	6	4	-1.2613002658489714	-1.2616651540792718	-0.014606822171693117
0	5	2	5	-1.4541136045814556	-1.454343719106461	-0.007990767961775756
0	5	11	6	-1.1113259191712774	-1.1113461378488259	-0.0009187228929901394
0	5	7	7	-1.385568510464931	-1.38559576724632	-0.000993389307087779
0	5	3	8	-1.4688544678522653	-1.4687969648696169	0.001976957306696815
0	5	12	9	-1.4200567420840282	-1.4199935293666086	0.0022479446565887963
0	5	8	10	-1.5029161530927981	-1.5028064206233471	0.0036871723802967362
0	5	4	11	-1.3493674582638833	-1.349278758408523	0.0033195876483585987
0	5	13	12	-1.3836419304504575	-1.3835148539750537	0.0046380836430258135
0	5	9	13	-1.4478475734149059	-1.4477574140025424	0.0031446979569463664
0	5	14	14	-1.3565903312364378	-1.3565252246756276	0.00242361507603319
1	1	0	0	-0.7459661446411119	-0.7581615623141825	-0.8188958428336399
1	1	5	1	-0.24279419706084643	-0.24279419706084643	0.0
1	1	1	2	-0.5655537157102805	-0.5655537157102805	0.0
1	1	10	3	-0.43084227449363527	-0.43084227449363527	0.0
1	1	6	4	-0.49236306208233516	-0.49236306208233516	0.0
1	1	2	5	-0.4696983094503855	-0.4696983094503855	0.0
1	1	11	6	-0.42506235065525577	-0.42506235065525577	0.0
1	1	7	7	-0.45302562095664595	-0.45302562095664595	0.0
1	1	3	8	-0.13045269745112362	-0.13045269745112362	0.0
1	1	12	9	-0.7289214466058533	-0.7289214466058533	0.0
1	1	8	10	-0.43858280934023425	-0.43858280934023425	0.0
1	1	4	11	-0.6007216690725042	-0.6007216690725042	0.0
1	1	13	12	-0.7314697037346476	-0.7314697037346476	0.0
1	1	9	13	-0.48422073595043424	-0.48422073595043424	0.0
1	1	14	14	-0.5623019724137667	-0.5623019724137667	0.0
1	2	0	0	-0.8184238657669232	-0.8300938908922595	-0.7149778679134816
1	2	5	1	-0.500823226190452	-0.5012954625642502	-0.04759348293031187
1	2	1	2	-0.8077084697140391	-0.8082343166021811	-0.032865521300034846
1	2	10	3	-0.5889537345881619	-0.5889735148683187	-0.001695981660827938
1	2	6	4	-0.7503699951920686	-0.7504489448792413	-0.0053128712811845195
1	2	2	5	-0.712175429732488	-0.7122096464930351	-0.0024261556401004927
1	2	11	6	-0.6844166486002808	-0.6843895721813387	0.001997820369710099
1	2	7	7	-0.7874849080969683	-0.787449745484719	0.002254892149605956
1	2	3	8	-0.4163356311776101	-0.4163011054998078	0.004187876125706766
1	2	12	9	-0.9811621023881114	-0.9811282013763255	0.0017448439187089802
1	2	8	10	-0.6750487925834596	-0.675014249651526	0.0025841179343926196
1	2	4	11	-0.6892169924040795	-0.6892027367248171	0.0010445124409144964
1	2	13	12	-0.9684273386613015	-0.9683952189875092	0.001674898421751171
1	2	9	13	-0.7232850572153641	-0.7232521322422067	0.002298809631428756
1	2	14	14	-0.8305944861952623	-0.8305587189973564	0.0021746151595870866
1	3	0	0	-0.886047053282442	-0.8972363936922298	-0.6337193813868326
1	3	5	1	-0.7210189207573027	-0.72172340630685	-0.04931630529504175
1	3	1	2	-1.0043681323578666	-1.0051064313130877	-0.03710709380784453
1	3	10	3	-0.7445961023538588	-0.7446507498341408	-0.003706044530777594
1	3	6	4	-0.9798247128580563	-0.9800069816319438	-0.009392921190443104
1	3	2	5	-0.9374697352073262	-0.93755312185887	-0.0044915594330309444
1	3	11	6	-0.8939097112603213	-0.8938824466557095	0.001540243405400943
1	3	7	7	-1.0522171976852213	-1.0521833381629875	0.0016250233437664601
1	3	3	8	-0.6631936757858075	-0.6631414902129721	0.003973784877374661
1	3	12	9	-1.1778595945106665	-1.1778023257197017	0.0024553433699703213
1	3	8	10	-0.8950332816185911	-0.8949652639069202	0.0038377485906177203
1	3	4	11	-0.7908346696627796	-0.7908024110048907	0.0020599023758699118
1	3	13	12	-1.1462329621404106	-1.1461733542910426	0.002626147037569698
1	3	9	13	-0.9202683154946183	-0.9202021251482729	0.003632227054800854
1	3	14	14	-1.029108030536337	-1.0290411642156572	0.0032812381733823854
1	4	0	0	-0.952254338934731	-0.9629541461905679	-0.5642500388917908
1	4	5	1	-0.9299046582565929	-0.9307357178279898	-0.045110425705550884
1	4	1	2	-1.1833737867786522	-1.1841925101250423	-0.034925467245287986
1	4	10	3	-0.9006036731934677	-0.9006896830871904	-0.004822487893965178
1	4	6	4	-1.1930106646982057	-1.193260127149498	-0.010558267078672483
1	4	2	5	-1.1521873419326512	-1.1523002074516278	-0.004946455417213054
1	4	11	6	-1.0838108953756547	-1.083792578673854	0.0008534431925925132
1	4	7	7	-1.281034393077454	-1.281010380221929	0.0009465951496785207
1	4	3	8	-0.9007515669235638	-0.9006877986940676	0.003575130444593431
1	4	12	9	-1.3440822717136724	-1.3440127293577808	0.0026128348979842795
1	4	8	10	-1.1027498196143237	-1.1026562745095867	0.004283903482214732
1	4	4	11	-0.8996380939233694	-0.899588655499898	0.002775146382237275
1	4	13	12	-1.2966438757254581	-1.2965629905438922	0.003150206214664962
1	4	9	13	-1.0986994051466128	-1.0986035874197844	0.004404160104525833
1	4	14	14	-1.1980890217107474	-1.1979957817215032	0.003930132679001831
1	5	0	0	-1.0158843238694906	-1.0260872118506779	-0.5046429736432122
1	5	5	1	-1.1260350152396839	-1.1269140551189112	-0.03940618644140952
1	5	1	2	-1.3447098108677957	-1.345521300938664	-0.030464974190761218
1	5	10	3	-1.052795982982712	-1.0529038727263398	-0.005174767906890434
1	5	6	4	-1.3860319447748966	-1.386302656920862	-0.009862097219401034
1	5	2	5	-1.3500033036957495	-1.350119816704752	-0.004358108445575255
1	5	11	6	-1.255610516689822	-1.2556009124906897	0.0003862647339171359
1	5	7	7	-1.475233569865388	-1.4752146812324123	0.0006465761904160896
1	5	3	8	-1.1258548433138058	-1.1257813224134519	0.003297765599004552
1	5	12	9	-1.4829945295025662	-1.4829202932289776	0.002527927830544554
1	5	8	10	-1.293021872637267	-1.292911492518493	0.004311026669448581
1	5	4	11	-1.0102133730924487	-1.0101493557980687	0.0032001854708392013
1	5	13	12	-1.4244489450196829	-1.4243544386888516	0.003350469029139371
1	5	9	13	-1.260035761524655	-1.2599175243480738	0.004738803960572059
1	5	14	14	-1.3442897355282384	-1.3441774865004765	0.004216819624627286
2	1	0	0	-0.9241276109501076	-0.9368241236721354	-0.6890698742995284
2	1	5	1	-0.7148190431585317	-0.7148190431585317	0.0
2	1	1	2	-0.6601408349562001	-0.6601408349562001	0.0
2	1	10	3	-0.5041899597726659	-0.5041899597726659	0.0
2	1	6	4	-0.47211153865810146	-0.47211153865810146	0.0
2	1	2	5	-0.4811144725773127	-0.4811144725773127	0.0
2	1	11	6	-0.9889361904433429	-0.9889361904433429	0.0
2	1	7	7	-0.2906556949124294	-0.29065569491242943	0.0
2	1	3	8	-0.597914612363045	-0.597914612363045	0.0
2	1	12	9	-0.6758655934810766	-0.6758655934810766	0.0
2	1	8	10	-0.5529840357805951	-0.5529840357805951	0.0
2	1	4	11	-0.22342463352689176	-0.22342463352689176	0.0
2	1	13	12	-0.6492517261136789	-0.6492517261136789	0.0
2	1	9	13	-0.555528380210807	-0.555528380210807	0.0
2	1	14	14	-0.2706745505136203	-0.2706745505136203	0.0
2	2	0	0	-1.0448626539810366	-1.0560209301381134	-0.5364217562412595
2	2	5	1	-0.9589978634861677	-0.9595677213346868	-0.029998330044152817
2	2	1	2	-0.9144900837218187	-0.9154901152843015	-0.05519179792165226
2	2	10	3	-0.8158523326693367	-0.8158643072704702	-0.0007411796654753185
2	2	6	4	-0.8501445380324492	-0.8502167994144945	-0.004292123643132241
2	2	2	5	-0.7331330339249136	-0.733150329957972	-0.00119134015832427
2	2	11	6	-1.149617372381005	-1.1495833102828004	0.0014962415093895487
2	2	7	7	-0.6943020849443333	-0.6942063370748469	0.006964465373255407
2	2	3	8	-0.7092680186125119	-0.7092406388783268	0.0019494155174288503
2	2	12	9	-0.9202463521084248	-0.9201809456817642	0.0035892932228229328
2	2	8	10	-0.8200422642922043	-0.8199689251228074	0.004516441175547521
2	2	4	11	-0.37560379346157347	-0.37556659060175074	0.005002015707700669
2	2	13	12	-0.865135293776203	-0.8650773576269888	0.0033818732366026295
2	2	9	13	-0.6781200799651064	-0.6780856253179227	0.002565839118698123
2	2	14	14	-0.4637047525288668	-0.4636557337138778	0.0053385265055429535
2	3	0	0	-1.1418128260745297	-1.151722579235607	-0.43638244647304564
2	3	5	1	-1.1575771372837333	-1.1582811869252094	-0.030704249728702778
2	3	1	2	-1.120552831255839	-1.1218236254169835	-0.05723661140132637
2	3	10	3	-1.0307306951633879	-1.0307806699686781	-0.002448344686819656
2	3	6	4	-1.1308224754522511	-1.130970257254466	-0.006598957582469635
2	3	2	5	-0.966047143394101	-0.9660906491620292	-0.0022741333414599807
2	3	11	6	-1.2823176281773938	-1.2822727839235772	0.00176602143166975
2	3	7	7	-1.0084754569799528	-1.00834500247146	0.006532795103409613
2	3	3	8	-0.8134421247585591	-0.8133908972294943	0.0031802964994912973
2	3	12	9	-1.1240613177104912	-1.123945516136824	0.005202642884018413
2	3	8	10	-1.049207619060517	-1.0490714043096614	0.006556439890566736
2	3	4	11	-0.4894205747240773	-0.4893486912064648	0.007417476517794505
2	3	13	12	-1.0466639380159914	-1.0465460402231657	0.00568853010447337
2	3	9	13	-0.7912005890363644	-0.7911252865390593	0.004806407972815433
2	3	14	14	-0.6148674093983325	-0.6147694361950533	0.008047067095655457
2	4	0	0	-1.227456787959432	-1.2361891612839413	-0.3579834915019767
2	4	5	1	-1.3238277694555354	-1.3244928411422539	-0.025363260961825777
2	4	1	2	-1.2959792598997	-1.2972279188256777	-0.04863107013216781
2	4	10	3	-1.2052610088034508	-1.2053254781735327	-0.002701082761083047
2	4	6	4	-1.3505808833767485	-1.3507265017219074	-0.0054443905033771025
2	4	2	5	-1.175039204635186	-1.175087126059524	-0.0020594236296708184
2	4	11	6	-1.3940882710036349	-1.3940367677245509	0.0018656484675389769
2	4	7	7	-1.2652772037280937	-1.2651298763176302	0.005880311649922709
2	4	3	8	-0.9148995138716637	-0.9148277548222152	0.003960933023885224
2	4	12	9	-1.2964397288179894	-1.2962986199011874	0.005496711575211309
2	4	8	10	-1.2489808897984038	-1.2488060037580218	0.00707142509085729
2	4	4	11	-0.5930019434502872	-0.5928958240449547	0.00903763378491951
2	4	13	12	-1.2112130448957217	-1.2110469770770138	0.006924236651180875
2	4	9	13	-0.9006170172029454	-0.9005016581248003	0.006468694337135539
2	4	14	14	-0.7524678495431107	-0.7523230190084342	0.009720557422385097
2	5	0	0	-1.3017687853579363	-1.3093985353084587	-0.2951100646091941
2	5	5	1	-1.458729825097131	-1.459263740702731	-0.018479723620915947
2	5	1	2	-1.4398936187521771	-1.440965738973531	-0.03758621836993835
2	5	10	3	-1.3487472928340039	-1.3488010189513286	-0.002011515607804296
2	5	6	4	-1.5157711243119851	-1.5158513438235648	-0.0026724653213923404
2	5	2	5	-1.35172785515896	-1.351758486255403	-0.0011443148789494744
2	5	11	6	-1.4848894276184736	-1.4848282266391502	0.002081375283262393
2	5	7	7	-1.4651256712034315	-1.4649630883499034	0.0056040389829663025
2	5	3	8	-1.010261027181856	-1.0101729457023396	0.004402984136390595
2	5	12	9	-1.4357677706047374	-1.4356197427642527	0.005206654719742263
2	5	8	10	-1.4157414794290757	-1.4155491116625518	0.006862068350108392
2	5	4	11	-0.6908052296283707	-0.6906679732969689	0.010034531603507965
2	5	13	12	-1.3568217293133866	-1.3566254182549358	0.007306856537698712
2	5	9	13	-1.0051966809494814	-1.005047170941588	0.007511535163062119
2	5	14	14	-0.8795578284323752	-0.8793749752374603	0.010499303454189606
3	1	0	0	-0.6921359258741694	-0.7030340878961631	-0.7889366689905454
3	1	5	1	-0.7826645840299622	-0.7826645840299622	0.0
3	1	1	2	-0.8010112302031497	-0.8010112302031497	0.0
3	1	10	3	-0.33334171439477484	-0.33334171439477484	0.0
3	1	6	4	-0.39408741726642665	-0.39408741726642665	0.0
3	1	2	5	-0.8956287640977968	-0.8956287640977968	0.0
3	1	11	6	-0.639666790636889	-0.639666790636889	0.0
3	1	7	7	-0.3342076357928161	-0.3342076357928161	0.0
3	1	3	8	-0.6547452115190304	-0.6547452115190304	0.0
3	1	12	9	-0.5488132450985713	-0.5488132450985713	0.0
3	1	8	10	-0.28193664610108954	-0.28193664610108954	0.0
3	1	4	11	-0.7668862898027609	-0.7668862898027609	0.0
3	1	13	12	-0.19646308112770508	-0.19646308112770508	0.0
3	1	9	13	-0.645670299426262	-0.645670299426262	0.0
3	1	14	14	-0.278354802397108	-0.278354802397108	0.0
3	2	0	0	-0.9490000608532986	-0.9575148737671271	-0.45107106382754947
3	2	5	1	-0.9702537668519176	-0.9712661740667204	-0.052664819166905255
3	2	1	2	-1.049893817494092	-1.0511244497782986	-0.05915694083002663
3	2	10	3	-0.5555924168388474	-0.5556369729510594	-0.004049587172051642
3	2	6	4	-0.7723797842504614	-0.7725476735380339	-0.010975443488654488
3	2	2	5	-1.1077781320367224	-1.107893637585734	-0.005265075542453881
3	2	11	6	-0.841817221220923	-0.8417942983808245	0.0013750982148871117
3	2	7	7	-0.6637489154827869	-0.6636941939550669	0.004163412849661915
3	2	3	8	-0.9078450552516658	-0.9078039466033433	0.002286696273006602
3	2	12	9	-0.7604059491135373	-0.7603636294714244	0.002810513993872334
3	2	8	10	-0.6088318124319879	-0.6087665266062225	0.005415293965845587
3	2	4	11	-0.9114973306139647	-0.9114704364441196	0.0014900002302132794
3	2	13	12	-0.42115848263291245	-0.42111109196551094	0.005682623649270677
3	2	9	13	-0.8317461670044763	-0.8317084261694654	0.002291436022321138
3	2	14	14	-0.42752413151807345	-0.42749209772442187	0.003783913480018036
3	3	0	0	-1.1277129489086395	-1.134427146389525	-0.29976648157577146
