Hamiltonian	driving	N	seed	duration	K=0	K=1	K=2	K=3	K=4	K=5
ferromagnetic	onebody	9	0	0.1	0.002066976777974764	0.383993730099465	0.7369961937463432	0.8684104391566316	0.9298646016658644	0.9619158928437077
ferromagnetic	onebody	9	0	0.05	0.0019812381058026424	0.38408972014576176	0.7377985149667156	0.8690046549069895	0.9302727459653646	0.9622079361596434
ferromagnetic	onebody	9	0	0.02	0.0019575944068756304	0.3841263116981027	0.7380249454441956	0.8691771270764607	0.9303857228938376	0.9622920937992203
ferromagnetic	onebody	9	0	0.01	0.0019542264002777327	0.3841309144560705	0.7380571362687199	0.8692011399324955	0.9304018276554811	0.9623041284659237
ferromagnetic	onebody	9	1	0.1	0.0020773656311404544	0.19127322466643928	0.560024380695237	0.7606005347090302	0.8649430703080768	0.9230796101026393
ferromagnetic	onebody	9	1	0.05	0.001984332369056258	0.1902895982045706	0.560663611630643	0.7613513431227308	0.8654848416090489	0.9234653958381897
ferromagnetic	onebody	9	1	0.02	0.001958658512220638	0.19001261145521997	0.5608449204505387	0.761569764212333	0.8656407595621024	0.9235736326196389
ferromagnetic	onebody	9	1	0.01	0.0019550002840142194	0.1899730553444132	0.5608708749750678	0.7616004612819517	0.8656625706448744	0.923589140134188
ferromagnetic	onebody	9	2	0.1	0.0020486690735273816	0.12716161380742008	0.43659752254101875	0.6729899164777821	0.8096936576496456	0.8893697664227594
ferromagnetic	onebody	9	2	0.05	0.001977106941825453	0.12648781632054118	0.4366596278898555	0.673439934892908	0.8101442253608225	0.8897465983989042
ferromagnetic	onebody	9	2	0.02	0.001957285610405772	0.12629886726207554	0.4366780464975031	0.6735665590293919	0.8102698800637792	0.8898539805698233
ferromagnetic	onebody	9	2	0.01	0.0019544612120250995	0.12627239142589025	0.43668052608184527	0.6735845878798999	0.8102877354334277	0.8898693001740825
ferromagnetic	onebody	9	3	0.1	0.002066726063529945	0.22241319618904207	0.5835241623728415	0.7744652394990372	0.8736642164338576	0.928236806273031
ferromagnetic	onebody	9	3	0.05	0.0019811081540418276	0.22178213821147044	0.5840518265001103	0.7750938680773396	0.8741465991680228	0.9285975215137733
ferromagnetic	onebody	9	3	0.02	0.001957494883640986	0.22160384012736675	0.5842039095371071	0.7752763084883632	0.874281635142331	0.9286980847030549
ferromagnetic	onebody	9	3	0.01	0.0019541277697847984	0.22157826742370226	0.5842255350238384	0.7753026837800268	0.8743009013014562	0.9287124338112768
ferromagnetic	onebody	9	4	0.1	0.002049356959659154	0.3072055924461991	0.612037422478633	0.774555463089961	0.8676959660174414	0.9226894342861124
ferromagnetic	onebody	9	4	0.05	0.0019768235093290645	0.3063180989924997	0.6122667562108425	0.7749622789620751	0.8680631020102298	0.9230040403420484
ferromagnetic	onebody	9	4	0.02	0.001956754898368682	0.3060666096716047	0.6123311906766388	0.775079250422294	0.868167900155616	0.923092393646586
ferromagnetic	onebody	9	4	0.01	0.0019538960016485404	0.30603060361785056	0.6123403509223743	0.7750958248390079	0.8681829798828404	0.9231050078444024
ferromagnetic	onebody	9	5	0.1	0.0020713517446568474	0.34104395709902646	0.6728072990124964	0.8222421417658753	0.9008114067740752	0.944943731133203
ferromagnetic	onebody	9	5	0.05	0.0019827352551923896	0.34068297908067624	0.6734074478146569	0.8227832143682219	0.9012211311699342	0.9452606651340061
ferromagnetic	onebody	9	5	0.02	0.0019582258622596214	0.3405820637395727	0.673577027019489	0.8229362247974535	0.9013329196991607	0.9453453884727777
ferromagnetic	onebody	9	5	0.01	0.001954737369068508	0.34056746561618023	0.6736012121349225	0.822958048007148	0.9013490761928976	0.9453580606709948
ferromagnetic	onebody	9	6	0.1	0.0020561858703272173	0.17928222335070715	0.5020574728283003	0.71215601532654	0.832637475338614	0.9031193856834436
ferromagnetic	onebody	9	6	0.05	0.0019785350159863546	0.17844065011126153	0.5022522081376797	0.7126875944061296	0.8331195005837407	0.9035076310872235
ferromagnetic	onebody	9	6	0.02	0.0019570403563788615	0.17820672221655878	0.5023080549998103	0.7128414158707947	0.8332470185434444	0.9036171895514933
ferromagnetic	onebody	9	6	0.01	0.001953978174280863	0.17817338368966684	0.502315903788244	0.7128626808624049	0.8332660690328042	0.9036328240998877
ferromagnetic	onebody	9	7	0.1	0.002066126141857145	0.3179917050727123	0.6662518937232503	0.8225488766024194	0.9006866261102303	0.94379827187468
ferromagnetic	onebody	9	7	0.05	0.0019808591474920765	0.3176402953896135	0.6670594239711258	0.8232105441935758	0.901132280626307	0.9441185581879722
ferromagnetic	onebody	9	7	0.02	0.00195732779398707	0.3175426240686103	0.6672876914367724	0.8234020243920926	0.9012583371223157	0.944205117312734
ferromagnetic	onebody	9	7	0.01	0.0019539812924001783	0.31752836782526966	0.6673203476852345	0.8234291821185198	0.9012763063967065	0.9442179227213451
ferromagnetic	onebody	9	8	0.1	0.0020754070746123506	0.1032758930669391	0.32463282239102303	0.5538078152655511	0.7200561217359975	0.8270882458708416
ferromagnetic	onebody	9	8	0.05	0.001983233001289539	0.1023324871591826	0.32416325123925627	0.5540037847293288	0.7204733572686979	0.8274964757300168
ferromagnetic	onebody	9	8	0.02	0.0019577496910672485	0.10206945423867375	0.3240326104359418	0.5540592434594022	0.7205925739098988	0.8276122199366298
ferromagnetic	onebody	9	8	0.01	0.0019541163952275136	0.1020316454410297	0.32401390776120803	0.5540671682991292	0.7206094940864096	0.8276288381899233
ferromagnetic	onebody	9	9	0.1	0.0020497808493079475	0.3693298517790773	0.7142509257636319	0.8503359954346398	0.9165389502889167	0.9530142242198721
ferromagnetic	onebody	9	9	0.05	0.0019770341143155357	0.36916932698467564	0.7150175907667327	0.8509333446303752	0.9169423378856054	0.953309379822094
ferromagnetic	onebody	9	9	0.02	0.001956916457402603	0.36912359543196066	0.715232243454855	0.85110366738099	0.9170564853628729	0.953393322813491
ferromagnetic	onebody	9	9	0.01	0.0019540511406211255	0.3691169893016881	0.7152629101297	0.8511282565828983	0.9170727811222559	0.953405318167734
ferromagnetic	onebody	9	10	0.1	0.002058744928624527	0.26207057712184756	0.5915698205356409	0.7710259438464846	0.870607686180856	0.9274739102878844
ferromagnetic	onebody	9	10	0.05	0.0019794644014781452	0.26129247008871215	0.5918574389840958	0.771492537346405	0.8710242940779573	0.9278223297733834
ferromagnetic	onebody	9	10	0.02	0.001957542552784863	0.26107270954710443	0.5919401279027373	0.7716258617186972	0.8711385057785264	0.9279204407700379
ferromagnetic	onebody	9	10	0.01	0.0019544248173026164	0.2610414286735	0.5919519816613527	0.7716451271264319	0.8711552550343349	0.9279345182392976
ferromagnetic	onebody	9	11	0.1	0.0020740809338364373	0.3518400862416261	0.6789255987063815	0.8332233631480395	0.9124701586813191	0.9532722807843244
ferromagnetic	onebody	9	11	0.05	0.0019826273985006147	0.35149008767908196	0.6794192521678576	0.8337663805024352	0.9129184235623627	0.9536098309001465
ferromagnetic	onebody	9	11	0.02	0.001957392074707846	0.3513929628687911	0.6795597231073353	0.833920801891825	0.9130393456189271	0.9537070169956323
ferromagnetic	onebody	9	11	0.01	0.001953798455802573	0.35137919312144816	0.6795799410701793	0.8339426856583058	0.9130573480181111	0.9537207441702917
ferromagnetic	onebody	9	12	0.1	0.0020372152470433773	0.3844776717953215	0.730034075655112	0.8609647371871061	0.9251226560996159	0.9589762876324655
ferromagnetic	onebody	9	12	0.05	0.001974059506722217	0.3842681126143239	0.7305564154803176	0.8614360231599892	0.9254835972137954	0.9592650371446413
ferromagnetic	onebody	9	12	0.02	0.001956569038144815	0.38420690511384203	0.7307073590444704	0.8615611747153494	0.9255852782364595	0.9593463604664227
ferromagnetic	onebody	9	12	0.01	0.0019540777513832805	0.38419798105799347	0.7307286216387321	0.8615798489511872	0.9255997607569253	0.9593579675657687
ferromagnetic	onebody	9	13	0.1	0.0020884043133991715	0.11402967591775706	0.38290620314973717	0.6229255283894277	0.775815691176951	0.8673349149117109
ferromagnetic	onebody	9	13	0.05	0.0019867126850446684	0.11303657983832846	0.38293025700642885	0.623526433785077	0.7763817786479091	0.8677727572627258
ferromagnetic	onebody	9	13	0.02	0.0019586684709869805	0.11275574163214278	0.3829279692456744	0.6236880514344606	0.7765419930184417	0.8678956995672956
ferromagnetic	onebody	9	13	0.01	0.0019546750617375833	0.11271566668173846	0.38292872117224586	0.6237121239663271	0.7765649085488902	0.8679133828706531
ferromagnetic	onebody	9	14	0.1	0.0020721393844875782	0.24067661572660914	0.604896328413326	0.7884574836646538	0.8830914161055952	0.9347510191705559
ferromagnetic	onebody	9	14	0.05	0.0019828453926147693	0.24023948772966877	0.6055072590314922	0.7890705267005861	0.8835401126552616	0.9350870908736048
ferromagnetic	onebody	9	14	0.02	0.00195822953804917	0.24012169106583064	0.6056801610543332	0.789243646682518	0.8836669433033438	0.9351843598734896
ferromagnetic	onebody	9	14	0.01	0.0019547234699744324	0.2401043153887938	0.6057048698139988	0.7892682567632797	0.8836851114681645	0.9351982677594296
ferromagnetic	onebody	9	15	0.1	0.0020706979572606594	0.19495497739297726	0.4709017665021973	0.6609137840564782	0.7869050823983204	0.8691409128610056
ferromagnetic	onebody	9	15	0.05	0.0019822120260265855	0.19384800967627097	0.47065186030426515	0.6610633032193288	0.7871798203984534	0.8694391814326891
ferromagnetic	onebody	9	15	0.02	0.001957792129089424	0.19353612735924042	0.47058043579676795	0.6611094930248228	0.7872555620358077	0.8695263941646509
ferromagnetic	onebody	9	15	0.01	0.001954314341454295	0.19349138938491503	0.4705701080228973	0.6611169952186324	0.7872664196350487	0.8695388875546286
ferromagnetic	onebody	9	16	0.1	0.0020605612003810826	0.13422104511906116	0.40450421240228224	0.6276749930099274	0.7742545524111052	0.865580653258088
ferromagnetic	onebody	9	16	0.05	0.0019797027077143895	0.13332442827706054	0.4042981078898076	0.6279798629983366	0.7746704360594979	0.86597069759418
ferromagnetic	onebody	9	16	0.02	0.001957344075761327	0.1330733948047367	0.4042321061243719	0.6280654582604815	0.7747869005544756	0.8660809692602626
ferromagnetic	onebody	9	16	0.01	0.001954164674490038	0.13303753200716756	0.40422364725490656	0.628077773550346	0.7748036247826737	0.8660968002862067
ferromagnetic	onebody	9	17	0.1	0.0020612996881291677	0.10524479822709819	0.37674618812976196	0.6114397816288487	0.7669349954821348	0.8631627227706721
ferromagnetic	onebody	9	17	0.05	0.0019799995040706295	0.10458015100580112	0.37666165567465915	0.6117756756085547	0.7673484891445042	0.8635655914902577
ferromagnetic	onebody	9	17	0.02	0.001957535197392135	0.10439095804397978	0.3766465110352837	0.6118731321309477	0.767467173048313	0.8636775589477701
ferromagnetic	onebody	9	17	0.01	0.0019543387105716552	0.1043641012587691	0.37664377764888124	0.6118870789580185	0.7674841530437538	0.8636935730834913
ferromagnetic	onebody	9	18	0.1	0.0020602173437663505	0.1875393440198507	0.5033874102608592	0.709998879287617	0.8298272040771419	0.9002624573954332
ferromagnetic	onebody	9	18	0.05	0.001979662479208619	0.18662494572748	0.5035800687240797	0.7104854829891467	0.8302570838712799	0.9006082828530505
ferromagnetic	onebody	9	18	0.02	0.001957390929814766	0.18636490346814225	0.5036324341675399	0.7106225830859645	0.8303779775437766	0.9007063974181242
ferromagnetic	onebody	9	18	0.01	0.0019542221633606213	0.1863278453745145	0.5036401440344815	0.710642172686211	0.8303952323583037	0.9007204011816983
ferromagnetic	onebody	9	19	0.1	0.002041218459371027	0.1380144898775125	0.3810468110205951	0.6046834978155028	0.756942541879367	0.8522071363215266
ferromagnetic	onebody	9	19	0.05	0.001974781944127918	0.1371246602593003	0.3807741935320307	0.6048921871160544	0.7572701745011271	0.8525319860419003
ferromagnetic	onebody	9	19	0.02	0.0019563832947465908	0.13687515593017863	0.3806961067915561	0.60495578548466	0.7573623807168167	0.8526234216465582
ferromagnetic	onebody	9	19	0.01	0.00195376189961479	0.1368394887945584	0.38068492981867924	0.6049647077424072	0.7573754877455673	0.85263643149947
ferromagnetic	onebody	9	20	0.1	0.002059893312123297	0.10218904780499771	0.3454636187001658	0.5769348122756655	0.7365858501608079	0.8393154278375667
ferromagnetic	onebody	9	20	0.05	0.0019793835372028923	0.10140275036036693	0.34518744498598547	0.5771724513604978	0.7369796622882847	0.8397190876669761
ferromagnetic	onebody	9	20	0.02	0.00195709269630837	0.10118182653965374	0.3451124573753126	0.5772388628946784	0.737090107763705	0.8398309896671267
ferromagnetic	onebody	9	20	0.01	0.001953923261735319	0.10115020447283057	0.34509388054997175	0.5772484132633146	0.7371058885527683	0.8398470195885323
